Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
P05981	reviewed	HEPS_HUMAN	Serine protease hepsin, EC 3.4.21.106 (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain ]	Homo sapiens (Human)	417	HPN	HPN TMPRSS1	1O5E;1O5F;1P57;1Z8G;3T2N;5CE1;
P06126	reviewed	CD1A_HUMAN	T-cell surface glycoprotein CD1a (T-cell surface antigen T6/Leu-6, hTa1 thymocyte antigen) (CD antigen CD1a)	Homo sapiens (Human)	327	CD1A	CD1A	1ONQ;1XZ0;4X6C;4X6D;4X6E;4X6F;5J1A;6NUX;7KOZ;7KP0;7KP1;
P06127	reviewed	CD5_HUMAN	T-cell surface glycoprotein CD5 (Lymphocyte antigen T1/Leu-1) (CD antigen CD5)	Homo sapiens (Human)	495	CD5	CD5 LEU1	2JA4;2JOP;2JP0;2OTT;
P06132	reviewed	DCUP_HUMAN	Uroporphyrinogen decarboxylase, UPD, URO-D, EC 4.1.1.37	Homo sapiens (Human)	367	UROD	UROD	1JPH;1JPI;1JPK;1R3Q;1R3R;1R3S;1R3T;1R3V;1R3W;1R3Y;1URO;2Q6Z;2Q71;3GVQ;3GVR;3GVV;3GVW;3GW0;3GW3;
P06213	reviewed	INSR_HUMAN	Insulin receptor, IR, EC 2.7.10.1 (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta ]	Homo sapiens (Human)	1382	INSR	INSR	1GAG;1I44;1IR3;1IRK;1P14;1RQQ;2AUH;2B4S;2HR7;2MFR;2Z8C;3BU3;3BU5;3BU6;3EKK;3EKN;3ETA;3W11;3W12;3W13;4IBM;4OGA;4XLV;4XSS;4XST;4ZXB;5E1S;5HHW;5J3H;5KQV;5U1M;6HN4;6HN5;6PXV;6PXW;6SOF;6VEP;6VEQ;7BW7;7BW8;7BWA;7KD6;7MQO;7MQR;7MQS;7PG0;7PG2;7PG3;7PG4;7QID;
P06239	reviewed	LCK_HUMAN	Tyrosine-protein kinase Lck, EC 2.7.10.2 (Leukocyte C-terminal Src kinase, LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	Homo sapiens (Human)	509	LCK	LCK	1BHF;1BHH;1CWD;1CWE;1FBZ;1H92;1IJR;1KIK;1LCJ;1LCK;1LKK;1LKL;1Q68;1Q69;1QPC;1QPD;1QPE;1QPJ;1X27;2IIM;2OF2;2OF4;2OFU;2OFV;2OG8;2PL0;2ZM1;2ZM4;2ZYB;3AC1;3AC2;3AC3;3AC4;3AC5;3AC8;3ACJ;3ACK;3AD4;3AD5;3AD6;3B2W;3BRH;3BYM;3BYO;3BYS;3BYU;3KMM;3KXZ;3LCK;3MPM;4C3F;4D8K;5MTM;5MTN;6H6A;6PDJ;
P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn, EC 2.7.10.2 (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase, SLK) (p59-Fyn)	Homo sapiens (Human)	537	FYN	FYN	1A0N;1AOT;1AOU;1AVZ;1AZG;1EFN;1FYN;1G83;1M27;1NYF;1NYG;1SHF;1ZBJ;2DQ7;2MQI;2MRJ;2MRK;3H0F;3H0H;3H0I;3UA6;3UA7;4D8D;4EIK;4U17;4U1P;4ZNX;5ZAU;6EDF;6IPY;6IPZ;7A2J;7A2K;7A2L;7A2M;7A2N;7A2O;7A2P;7A2Q;7A2R;7A2S;7A2T;7A2U;7A2V;7A2W;7A2X;7A2Y;7A2Z;
P06276	reviewed	CHLE_HUMAN	Cholinesterase, EC 3.1.1.8 (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	Homo sapiens (Human)	602	BCHE	BCHE CHE1	1P0I;1P0M;1P0P;1P0Q;1XLU;1XLV;1XLW;2J4C;2PM8;2WID;2WIF;2WIG;2WIJ;2WIK;2WIL;2WSL;2XMB;2XMC;2XMD;2XMG;2XQF;2XQG;2XQI;2XQJ;2XQK;2Y1K;3DJY;3DKK;3O9M;4AQD;4AXB;4B0O;4B0P;4BBZ;4BDS;4TPK;4XII;5DYT;5DYW;5DYY;5K5E;5LKR;5NN0;6EMI;6EP4;6EQP;6EQQ;6ESJ;6ESY;6EUL;6EYF;6EZ2;6F7Q;6I0B;6I0C;6I2T;6QAA;6QAB;6QAC;6QAD;6QAE;6R6V;6R6W;6RUA;6SAM;6T9P;6T9S;6XTA;6ZWI;7AIY;7AMZ;7AWG;7AWH;7AWI;7BGC;7BO3;7BO4;
P06280	reviewed	AGAL_HUMAN	Alpha-galactosidase A, EC 3.2.1.22 (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (Melibiase) (Agalsidase)	Homo sapiens (Human)	429	GLA	GLA	1R46;1R47;3GXN;3GXP;3GXT;3HG2;3HG3;3HG4;3HG5;3LX9;3LXA;3LXB;3LXC;3S5Y;3S5Z;3TV8;4NXS;6IBK;6IBM;6IBR;6IBT;
P06307	reviewed	CCKN_HUMAN	Cholecystokinin, CCK [Cleaved into: Cholecystokinin-58, CCK58; Cholecystokinin-58 desnonopeptide ((1-49)-CCK58); Cholecystokinin-39, CCK39; Cholecystokinin-33, CCK33; Cholecystokinin-25, CCK25; Cholecystokinin-18, CCK18; Cholecystokinin-12, CCK12; Cholecystokinin-8, CCK8; Cholecystokinin-7, CCK7; Cholecystokinin-5, CCK5 ]	Homo sapiens (Human)	115	CCK	CCK	7EZH;7EZK;7EZM;7MBX;7MBY;
P06312	reviewed	KV401_HUMAN	Immunoglobulin kappa variable 4-1 (Ig kappa chain V-IV region B17) (Ig kappa chain V-IV region JI) (Ig kappa chain V-IV region Len) (Ig kappa chain V-IV region STH)	Homo sapiens (Human)	121	IGKV4-1	IGKV4-1	1EEQ;1EEU;1EFQ;1EK3;1LVE;1QAC;2LVE;3LVE;4LVE;5LVE;
P06340	reviewed	DOA_HUMAN	HLA class II histocompatibility antigen, DO alpha chain (MHC DN-alpha) (MHC DZ alpha) (MHC class II antigen DOA)	Homo sapiens (Human)	250	HLA-DOA	HLA-DOA HLA-DNA HLA-DZA	4I0P;
P06396	reviewed	GELS_HUMAN	Gelsolin (AGEL) (Actin-depolymerizing factor, ADF) (Brevin)	Homo sapiens (Human)	782	GSN	GSN	1C0F;1C0G;1D4X;1DEJ;1EQY;1ESV;1H1V;1KCQ;1MDU;1NLV;1NM1;1NMD;1P8X;1P8Z;1SOL;1T44;1YAG;1YVN;2FF3;2FF6;2FH1;2FH2;2FH3;2FH4;3A5L;3A5M;3A5N;3A5O;3CI5;3CIP;3CJB;3CJC;3FFK;3FFN;3TU5;4PKG;4PKH;4PKI;4S10;4Z94;5DD2;5FAE;5FAF;5H3M;5H3N;5O2Z;5UBO;5ZZ0;6H1F;6JCO;6JEG;6JEH;6LJE;6LJF;6Q9R;6Q9Z;6QBF;6QW3;
P06400	reviewed	RB_HUMAN	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb, Rb) (pp110)	Homo sapiens (Human)	928	RB1	RB1	1AD6;1GH6;1GUX;1H25;1N4M;1O9K;1PJM;2AZE;2QDJ;2R7G;3N5U;3POM;4CRI;4ELJ;4ELL;
P06401	reviewed	PRGR_HUMAN	Progesterone receptor, PR (Nuclear receptor subfamily 3 group C member 3)	Homo sapiens (Human)	933	PGR	PGR NR3C3	1A28;1E3K;1SQN;1SR7;1ZUC;2C7A;2OVH;2OVM;2W8Y;3D90;3G8O;3HQ5;3KBA;3ZR7;3ZRA;3ZRB;4A2J;4APU;4OAR;5CC0;
P06454	reviewed	PTMA_HUMAN	Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1 ]	Homo sapiens (Human)	111	PTMA	PTMA TMSA	2L9I;2MNQ;
P06493	reviewed	CDK1_HUMAN	Cyclin-dependent kinase 1, CDK1, EC 2.7.11.22, EC 2.7.11.23 (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	Homo sapiens (Human)	297	CDK1	CDK1 CDC2 CDC28A CDKN1 P34CDC2	4Y72;4YC3;4YC6;5HQ0;5LQF;6GU2;6GU3;6GU4;6GU6;6GU7;6TWN;7NJ0;
P06681	reviewed	CO2_HUMAN	Complement C2, EC 3.4.21.43 (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment ]	Homo sapiens (Human)	752	C2	C2	2I6Q;2I6S;2ODP;2ODQ;3ERB;
P06702	reviewed	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14, MRP-14, p14) (S100 calcium-binding protein A9)	Homo sapiens (Human)	114	S100A9	S100A9 CAGB CFAG MRP14	1IRJ;1XK4;4GGF;4XJK;5I8N;5W1F;6DS2;
P06703	reviewed	S10A6_HUMAN	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein, PRA) (S100 calcium-binding protein A6)	Homo sapiens (Human)	90	S100A6	S100A6 CACY	1K8U;1K96;1K9K;1K9P;2M1K;4YBH;
P06727	reviewed	APOA4_HUMAN	Apolipoprotein A-IV, Apo-AIV, ApoA-IV (Apolipoprotein A4)	Homo sapiens (Human)	396	APOA4	APOA4	3S84;
P06729	reviewed	CD2_HUMAN	T-cell surface antigen CD2 (Erythrocyte receptor) (LFA-2) (LFA-3 receptor) (Rosette receptor) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	Homo sapiens (Human)	351	CD2	CD2 SRBC	1CDB;1GYA;1HNF;1L2Z;1QA9;2J6O;2J7I;
P06730	reviewed	IF4E_HUMAN	Eukaryotic translation initiation factor 4E, eIF-4E, eIF4E (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	Homo sapiens (Human)	217	EIF4E	EIF4E EIF4EL1 EIF4F	1IPB;1IPC;1WKW;2GPQ;2V8W;2V8X;2V8Y;2W97;3AM7;3TF2;3U7X;4AZA;4BEA;4DT6;4DUM;4TPW;4TQB;4TQC;4UED;5EHC;5EI3;5EIR;5EKV;5GW6;5T46;5ZJY;5ZJZ;5ZK5;5ZK7;5ZK9;5ZML;7D6Y;7D8B;7MEU;
P06731	reviewed	CEAM5_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen, CEA) (Meconium antigen 100) (CD antigen CD66e)	Homo sapiens (Human)	702	CEACAM5	CEACAM5 CEA	1E07;2QSQ;2QST;2VER;
P06732	reviewed	KCRM_HUMAN	Creatine kinase M-type, EC 2.7.3.2 (Creatine kinase M chain) (Creatine phosphokinase M-type, CPK-M) (M-CK)	Homo sapiens (Human)	381	CKM	CKM CKMM	1I0E;7BF2;
P06733	reviewed	ENOA_HUMAN	Alpha-enolase, EC 4.2.1.11 (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase, NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	Homo sapiens (Human)	434	ENO1	ENO1 ENO1L1 MBPB1 MPB1	2PSN;3B97;5JLZ;5LAX;5NI9;5NIG;5OCK;
P06734	reviewed	FCER2_HUMAN	Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form ]	Homo sapiens (Human)	321	FCER2	FCER2 CD23A CLEC4J FCE2 IGEBF	1T8C;1T8D;2H2R;2H2T;4EZM;4G96;4G9A;4GI0;4GJ0;4GJX;4GK1;4GKO;4J6J;4J6K;4J6L;4J6M;4J6N;4J6P;4J6Q;4KI1;5LGK;6Y0L;6Y0M;
P06737	reviewed	PYGL_HUMAN	Glycogen phosphorylase, liver form, EC 2.4.1.1	Homo sapiens (Human)	847	PYGL	PYGL	1EM6;1EXV;1FA9;1FC0;1L5Q;1L5R;1L5S;1L7X;1XOI;2ATI;2QLL;2ZB2;3CEH;3CEJ;3CEM;3DD1;3DDS;3DDW;
P06744	reviewed	G6PI_HUMAN	Glucose-6-phosphate isomerase, GPI, EC 5.3.1.9 (Autocrine motility factor, AMF) (Neuroleukin, NLK) (Phosphoglucose isomerase, PGI) (Phosphohexose isomerase, PHI) (Sperm antigen 36, SA-36)	Homo sapiens (Human)	558	GPI	GPI	1IAT;1IRI;1JIQ;1JLH;1NUH;6XUH;6XUI;
P06746	reviewed	DPOLB_HUMAN	DNA polymerase beta, EC 2.7.7.7, EC 4.2.99.-	Homo sapiens (Human)	335	POLB	POLB	1BPX;1BPY;1BPZ;1MQ2;1MQ3;1TV9;1TVA;1ZJM;1ZJN;1ZQA;1ZQB;1ZQC;1ZQD;1ZQE;1ZQF;1ZQG;1ZQH;1ZQI;1ZQJ;1ZQK;1ZQL;1ZQM;1ZQN;1ZQO;1ZQP;1ZQQ;1ZQR;1ZQS;1ZQT;2FMP;2FMQ;2FMS;2I9G;2ISO;2ISP;2P66;2PXI;3C2K;3C2L;3C2M;3GDX;3ISB;3ISC;3ISD;3JPN;3JPO;3JPP;3JPQ;3JPR;3JPS;3JPT;3LK9;3MBY;3OGU;3RH4;3RH5;3RH6;3RJE;3RJF;3RJG;3RJH;3RJI;3RJJ;3RJK;3TFR;3TFS;4DO9;4DOA;4DOB;4DOC;4F5N;4F5O;4F5P;4F5Q;4F5R;4GXI;4GXJ;4GXK;4JWM;4JWN;4KLD;4KLE;4KLF;4KLG;4KLH;4KLI;4KLJ;4KLL;4KLM;4KLO;4KLQ;4KLS;4KLT;4KLU;4LVS;4M2Y;4M47;4M9G;4M9H;4M9J;4M9L;4M9N;4MF2;4MF8;4MFA;4MFC;4MFF;4NLK;4NLN;4NLZ;4NM1;4NM2;4NXZ;4NY8;4O5C;4O5E;4O5K;4O9M;4P2H;4PGQ;4PGX;4PGY;4PH5;4PHA;4PHD;4PHE;4PHP;4PPX;4R63;4R64;4R65;4R66;4RPX;4RPY;4RPZ;4RQ0;4RQ1;4RQ2;4RQ3;4RQ4;4RQ5;4RQ6;4RQ7;4RQ8;4RT2;4RT3;4TUP;4TUQ;4TUR;4TUS;4UAW;4UAY;4UAZ;4UB1;4UB2;4UB3;4UB4;4UB5;4UBB;4UBC;4YMM;4YMN;4YMO;4YN4;4Z6C;4Z6D;4Z6E;4Z6F;5BOL;5BOM;5BPC;5DB6;5DB7;5DB8;5DB9;5DBA;5DBB;5DBC;5EOZ;5HHH;5HHI;5J0O;5J0P;5J0Q;5J0R;5J0S;5J0T;5J0U;5J0W;5J0X;5J0Y;5J29;5J2A;5J2B;5J2C;5J2D;5J2E;5J2F;5J2G;5J2H;5J2I;5J2J;5J2K;5TB8;5TB9;5TBA;5TBB;5TBC;5TZV;5U2R;5U2S;5U2T;5U8G;5U8H;5U8I;5U9H;5UGN;5UGO;5UGP;5V1F;5V1G;5V1H;5V1I;5V1J;5V1N;5V1O;5V1P;5V1R;5VEZ;5VRW;5VRX;5VRY;5VRZ;5VS0;5VS1;5VS2;5VS3;5VS4;5WNX;5WNY;5WNZ;5WO0;6BEL;6BEM;6BTE;6BTF;6CLY;6CPQ;6CR3;6CR4;6CR5;6CR6;6CR7;6CR8;6CR9;6CRB;6CRC;6CRH;6CTI;6CTJ;6CTK;6CTL;6CTM;6CTN;6CTO;6CTP;6CTQ;6CTR;6CTT;6CTU;6CTV;6CTW;6CTX;6CU9;6CUA;6CUB;6DIA;6DIC;6E3R;6E3V;6E3W;6E3X;6G2Q;6MR7;6MR8;6N2R;6N2S;6N2T;6NKR;6NKS;6NKT;6NKU;6NKV;6NKW;6NKX;6NKY;6NKZ;6NL0;6PH5;6PH6;6PKZ;6U2O;6U6B;6UOK;6UOL;6UOM;6W2M;7ICE;7ICF;7ICG;7ICH;7ICI;7ICJ;7ICK;7ICL;7ICM;7ICN;7ICO;7ICP;7ICQ;7ICR;7ICS;7ICT;7ICU;7ICV;7K96;7K97;7RBE;7RBF;7RBG;7RBH;7RBI;7RBJ;7RBK;7RBL;7RBM;7RBN;7RBO;8ICA;8ICB;8ICC;8ICE;8ICF;8ICG;8ICH;8ICI;8ICJ;8ICK;8ICL;8ICM;8ICN;8ICO;8ICP;8ICQ;8ICR;8ICS;8ICT;8ICU;8ICV;8ICW;8ICX;8ICY;8ICZ;9ICA;9ICB;9ICC;9ICE;9ICF;9ICG;9ICH;9ICI;9ICJ;9ICK;9ICL;9ICM;9ICN;9ICO;9ICP;9ICQ;9ICR;9ICS;9ICT;9ICU;9ICV;9ICW;9ICX;9ICY;
P06748	reviewed	NPM_HUMAN	Nucleophosmin, NPM (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Homo sapiens (Human)	294	NPM1	NPM1 NPM	2LLH;2P1B;2VXD;5EHD;
P06753	reviewed	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5, hTM5)	Homo sapiens (Human)	285	TPM3	TPM3	6OTN;
P06756	reviewed	ITAV_HUMAN	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain ]	Homo sapiens (Human)	1048	ITGAV	ITGAV MSK8 VNRA VTNR	1JV2;1L5G;1M1X;1U8C;3IJE;4G1E;4G1M;4MMX;4MMY;4MMZ;4O02;4UM8;4UM9;5FFG;5FFO;5NEM;5NER;5NET;5NEU;6AVQ;6AVR;6AVU;6DJP;6MK0;6MSL;6MSU;6NAJ;6OM1;6OM2;6UJA;6UJB;6UJC;
P06850	reviewed	CRF_HUMAN	Corticoliberin (Corticotropin-releasing factor, CRF) (Corticotropin-releasing hormone)	Homo sapiens (Human)	196	CRH	CRH	1GO9;1GOE;3EHT;3EHU;6P9X;
P06858	reviewed	LIPL_HUMAN	Lipoprotein lipase, LPL, EC 3.1.1.34 (Phospholipase A1, EC 3.1.1.32)	Homo sapiens (Human)	475	LPL	LPL LIPD	6E7K;6OAU;6OAZ;6OB0;6WN4;
P06865	reviewed	HEXA_HUMAN	Beta-hexosaminidase subunit alpha, EC 3.2.1.52 (Beta-N-acetylhexosaminidase subunit alpha, Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	Homo sapiens (Human)	529	HEXA	HEXA	2GJX;2GK1;
P06870	reviewed	KLK1_HUMAN	Kallikrein-1, EC 3.4.21.35 (Kidney/pancreas/salivary gland kallikrein) (Tissue kallikrein)	Homo sapiens (Human)	262	KLK1	KLK1	1SPJ;
P06881	reviewed	CALCA_HUMAN	Calcitonin gene-related peptide 1 (Alpha-type CGRP) (Calcitonin gene-related peptide I, CGRP-I)	Homo sapiens (Human)	128	CALCA	CALCA CALC1	6E3Y;7KNU;
P06899	reviewed	H2B1J_HUMAN	Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r, H2B/r)	Homo sapiens (Human)	126	H2BC11	H2BC11 H2BFR HIST1H2BJ	2RVQ;3A6N;3AFA;3AN2;3AV1;3AV2;3AYW;3AZE;3AZF;3AZG;3AZH;3AZI;3AZJ;3AZK;3AZL;3AZM;3AZN;3W96;3W97;3W98;3W99;3WA9;3WAA;3WTP;4CAY;4YM5;4YM6;4Z5T;5AV5;5AV6;5AV8;5AV9;5AVB;5AVC;5AY8;5B0Y;5B0Z;5B24;5B2I;5B2J;5B31;5B32;5B33;5B40;5CPI;5CPJ;5CPK;5FUG;5GSE;5GTC;5GXQ;5JRG;5VEY;5X7X;5XF3;5XF4;5XF5;5Y0C;5Y0D;5Z23;5Z30;5ZBX;6A5L;6A5O;6A5P;6A5R;6A5T;6A5U;6BUZ;6E0C;6E0P;6HKT;6HTS;6INQ;6IPU;6IQ4;6IR9;6J4W;6J4X;6J4Y;6J4Z;6J50;6J51;6JOU;6JR0;6JR1;6JXD;6K1I;6K1J;6K1K;6KVD;6KXV;6L49;6L4A;6L9Z;6LA2;6LA8;6LA9;6LAB;6LER;6M3V;6M44;6O1D;6R8Y;6R8Z;6R90;6R91;6R92;6R93;6R94;6T90;6T93;6USJ;6V2K;6YOV;7BY0;7C0M;7CCQ;7CCR;7COW;7D1Z;7D20;7E8D;7K5X;7K5Y;7K60;7K61;7K63;7LYA;7LYB;7LYC;7NL0;7SCY;7SCZ;
P07093	reviewed	GDN_HUMAN	Glia-derived nexin, GDN (Peptidase inhibitor 7, PI-7) (Protease nexin 1, PN-1) (Protease nexin I) (Serpin E2)	Homo sapiens (Human)	398	SERPINE2	SERPINE2 PI7 PN1	4DY0;4DY7;
P07098	reviewed	LIPG_HUMAN	Gastric triacylglycerol lipase, GL, Gastric lipase, EC 3.1.1.3	Homo sapiens (Human)	398	LIPF	LIPF	1HLG;
P07101	reviewed	TY3H_HUMAN	Tyrosine 3-monooxygenase, EC 1.14.16.2 (Tyrosine 3-hydroxylase, TH)	Homo sapiens (Human)	528	TH	TH TYH	2XSN;4J6S;6ZN2;6ZVP;6ZZU;7A2G;7PIM;
P07108	reviewed	ACBP_HUMAN	Acyl-CoA-binding protein, ACBP (Diazepam-binding inhibitor, DBI) (Endozepine, EP)	Homo sapiens (Human)	87	DBI	DBI	2CB8;2FJ9;
P07148	reviewed	FABPL_HUMAN	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein, L-FABP)	Homo sapiens (Human)	127	FABP1	FABP1 FABPL	2F73;2L67;2L68;2LKK;2PY1;3B2H;3B2I;3B2J;3B2K;3B2L;3STK;3STM;3STN;3VG2;3VG3;3VG4;3VG5;3VG6;3VG7;6DO6;6DO7;6DRG;6MP4;
P07195	reviewed	LDHB_HUMAN	L-lactate dehydrogenase B chain, LDH-B, EC 1.1.1.27 (LDH heart subunit, LDH-H) (Renal carcinoma antigen NY-REN-46)	Homo sapiens (Human)	334	LDHB	LDHB	1I0Z;1T2F;7DBJ;7DBK;
P07199	reviewed	CENPB_HUMAN	Major centromere autoantigen B (Centromere protein B, CENP-B)	Homo sapiens (Human)	599	CENPB	CENPB	1BW6;1HLV;1UFI;6KDR;
P07203	reviewed	GPX1_HUMAN	Glutathione peroxidase 1, GPx-1, GSHPx-1, EC 1.11.1.9 (Cellular glutathione peroxidase)	Homo sapiens (Human)	203	GPX1	GPX1	2F8A;
P07204	reviewed	TRBM_HUMAN	Thrombomodulin, TM (Fetomodulin) (CD antigen CD141)	Homo sapiens (Human)	575	THBD	THBD THRM	1ADX;1DQB;1DX5;1EGT;1FGD;1FGE;1HLT;1TMR;1ZAQ;2ADX;3GIS;5TO3;7T4R;
P07225	reviewed	PROS_HUMAN	Vitamin K-dependent protein S	Homo sapiens (Human)	676	PROS1	PROS1 PROS	1Z6C;
P07237	reviewed	PDIA1_HUMAN	Protein disulfide-isomerase, PDI, EC 5.3.4.1 (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	Homo sapiens (Human)	508	P4HB	P4HB ERBA2L PDI PDIA1 PO4DB	1BJX;1MEK;1X5C;2BJX;2K18;3BJ5;3UEM;4EKZ;4EL1;4JU5;6I7S;
P07288	reviewed	KLK3_HUMAN	Prostate-specific antigen, PSA, EC 3.4.21.77 (Gamma-seminoprotein, Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	Homo sapiens (Human)	261	KLK3	KLK3 APS	2ZCH;2ZCK;2ZCL;3QUM;
P07305	reviewed	H10_HUMAN	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed ]	Homo sapiens (Human)	194	H1-0	H1-0 H1F0 H1FV	6HQ1;6LA2;6LA8;6LA9;6LAB;6N88;6N89;7COW;7DBP;7K5X;
P07306	reviewed	ASGR1_HUMAN	Asialoglycoprotein receptor 1, ASGP-R 1, ASGPR 1 (C-type lectin domain family 4 member H1) (Hepatic lectin H1, HL-1)	Homo sapiens (Human)	291	ASGR1	ASGR1 CLEC4H1	1DV8;5JPV;5JQ1;6YAU;
P07315	reviewed	CRGC_HUMAN	Gamma-crystallin C (Gamma-C-crystallin) (Gamma-crystallin 2-1) (Gamma-crystallin 3)	Homo sapiens (Human)	174	CRYGC	CRYGC CRYG3	2NBR;
P07320	reviewed	CRGD_HUMAN	Gamma-crystallin D (Gamma-D-crystallin) (Gamma-crystallin 4)	Homo sapiens (Human)	174	CRYGD	CRYGD CRYG4	1H4A;1HK0;2G98;2KFB;2KLJ;4GR7;4JGF;6ETA;6ETC;6W5B;6WCY;7P53;
P07327	reviewed	ADH1A_HUMAN	Alcohol dehydrogenase 1A, EC 1.1.1.1 (Alcohol dehydrogenase subunit alpha)	Homo sapiens (Human)	375	ADH1A	ADH1A ADH1	1HSO;1U3T;
P07332	reviewed	FES_HUMAN	Tyrosine-protein kinase Fes/Fps, EC 2.7.10.2 (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	Homo sapiens (Human)	822	FES	FES FPS	1WQU;2DCR;3BKB;3CBL;3CD3;4DYL;4E93;6JMF;
P07333	reviewed	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor, CSF-1-R, CSF-1R, M-CSF-R, EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Homo sapiens (Human)	972	CSF1R	CSF1R FMS	2I0V;2I0Y;2I1M;2OGV;3BEA;3DPK;3KRJ;3KRL;3LCD;3LCO;4DKD;4HW7;4LIQ;4R7H;4R7I;4WRL;4WRM;6IG8;6N33;6T2W;6WXJ;7MFC;
P07339	reviewed	CATD_HUMAN	Cathepsin D, EC 3.4.23.5 [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain ]	Homo sapiens (Human)	412	CTSD	CTSD CPSD	1LYA;1LYB;1LYW;4OBZ;4OC6;4OD9;
P07355	reviewed	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV, PAP-IV) (Protein I) (p36)	Homo sapiens (Human)	339	ANXA2	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	1W7B;1XJL;2HYU;2HYV;2HYW;4DRW;4FTG;4HRH;5LPU;5LPX;5LQ0;5LQ2;5N7D;5N7F;5N7G;6TWQ;6TWU;6TWX;6TWY;7DTO;7NMI;
P07357	reviewed	CO8A_HUMAN	Complement component C8 alpha chain (Complement component 8 subunit alpha)	Homo sapiens (Human)	584	C8A	C8A	2QOS;2QQH;2RD7;3OJY;6H03;6H04;7NYC;7NYD;
P07358	reviewed	CO8B_HUMAN	Complement component C8 beta chain (Complement component 8 subunit beta)	Homo sapiens (Human)	591	C8B	C8B	3OJY;6H03;6H04;7NYC;7NYD;
P07359	reviewed	GP1BA_HUMAN	Platelet glycoprotein Ib alpha chain, GP-Ib alpha, GPIb-alpha, GPIbA, Glycoprotein Ibalpha (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin ]	Homo sapiens (Human)	652	GP1BA	GP1BA	1GWB;1M0Z;1M10;1OOK;1P8V;1P9A;1QYY;1SQ0;1U0N;2BP3;3P72;3PMH;4C2A;4C2B;4CH2;4CH8;4MGX;4YR6;6XFQ;
