Entry	Status	Ensembl transcript	Gene names  (primary )	3D	Cross-reference (InterPro)	Organism
O75925	reviewed	ENST00000249636 [O75925-1];ENST00000545237 [O75925-2];	PIAS1	NMR spectroscopy (1)	IPR027226;IPR023321;IPR038654;IPR003034;IPR036361;IPR004181;IPR013083;	Homo sapiens (Human)
P05186	reviewed	ENST00000374832 [P05186-1];ENST00000374840 [P05186-1];ENST00000539907 [P05186-2];ENST00000540617 [P05186-3];	ALPL		IPR001952;IPR018299;IPR017850;	Homo sapiens (Human)
Q92626	reviewed	ENST00000252804 [Q92626-1];	PXDN		IPR000483;IPR019791;IPR010255;IPR037120;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR001611;IPR003591;IPR032675;IPR034824;IPR034828;IPR001007;	Homo sapiens (Human)
P50579	reviewed	ENST00000261220 [P50579-2];ENST00000323666 [P50579-1];ENST00000546753 [P50579-3];	METAP2	X-ray crystallography (37)	IPR036005;IPR000994;IPR001714;IPR002468;IPR018349;IPR036388;IPR036390;	Homo sapiens (Human)
P39877	reviewed	ENST00000375108;	PLA2G5	Model (1)	IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;	Homo sapiens (Human)
Q8NA58	reviewed	ENST00000392167 [Q8NA58-2];ENST00000610273 [Q8NA58-1];	PNLDC1		IPR036867;IPR006941;IPR012337;IPR036397;	Homo sapiens (Human)
Q2QD12	reviewed	ENST00000441178;	RPEL1		IPR013785;IPR026019;IPR000056;IPR011060;	Homo sapiens (Human)
Q96AT9	reviewed	ENST00000354506 [Q96AT9-4];ENST00000359429 [Q96AT9-1];ENST00000411934 [Q96AT9-5];ENST00000429921 [Q96AT9-3];ENST00000436630 [Q96AT9-3];ENST00000438204 [Q96AT9-5];ENST00000454822 [Q96AT9-3];	RPE	X-ray crystallography (4)	IPR013785;IPR026019;IPR000056;IPR011060;	Homo sapiens (Human)
P35625	reviewed	ENST00000266085;	TIMP3	X-ray crystallography (1)	IPR001134;IPR001820;IPR008993;IPR015612;IPR027465;IPR030490;	Homo sapiens (Human)
Q6N021	reviewed	ENST00000265149 [Q6N021-3];ENST00000305737 [Q6N021-2];ENST00000380013 [Q6N021-1];ENST00000540549 [Q6N021-1];	TET2	X-ray crystallography (3)	IPR024779;IPR040175;	Homo sapiens (Human)
Q9BQ50	reviewed	ENST00000330912 [Q9BQ50-2];ENST00000334497 [Q9BQ50-1];ENST00000338525 [Q9BQ50-2];ENST00000370212 [Q9BQ50-1];ENST00000370231 [Q9BQ50-2];ENST00000370232 [Q9BQ50-1];ENST00000393862 [Q9BQ50-2];	TREX2	X-ray crystallography (1)	IPR013520;IPR012337;IPR036397;IPR034926;	Homo sapiens (Human)
Q5TAX3	reviewed	ENST00000371544 [Q5TAX3-1];	TUT4	X-ray crystallography (1)	IPR043519;IPR002058;IPR001878;IPR036875;	Homo sapiens (Human)
A2RUC4	reviewed	ENST00000354611 [A2RUC4-1];	TYW5	X-ray crystallography (2)	IPR041667;IPR003347;IPR029612;	Homo sapiens (Human)
Q8IWU6	reviewed	ENST00000260128;ENST00000402687;ENST00000419716;ENST00000458141;	SULF1		IPR017850;IPR014615;IPR024609;IPR024607;IPR000917;	Homo sapiens (Human)
O43581	reviewed	ENST00000263846 [O43581-1];ENST00000535826 [O43581-5];ENST00000539008 [O43581-3];ENST00000540677 [O43581-2];ENST00000542670 [O43581-4];ENST00000542836 [O43581-6];	SYT7	NMR spectroscopy (1)	IPR000008;IPR035892;IPR037732;IPR037741;IPR001565;IPR015427;	Homo sapiens (Human)
Q13049	reviewed	ENST00000373983;ENST00000450136;	TRIM32	X-ray crystallography (1); NMR spectroscopy (1)	IPR011042;IPR001258;IPR013017;IPR027370;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q96DX7	reviewed	ENST00000299413;	TRIM44		IPR000315;	Homo sapiens (Human)
O00635	reviewed	ENST00000357085;	TRIM38		IPR001870;IPR043136;IPR003879;IPR013320;IPR006574;IPR035790;IPR003877;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9C035	reviewed	ENST00000380027 [Q9C035-4];ENST00000380034 [Q9C035-1];ENST00000396847 [Q9C035-3];ENST00000433961 [Q9C035-5];	TRIM5	NMR spectroscopy (2)	IPR001870;IPR043136;IPR003879;IPR013320;IPR003877;IPR027370;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q6N063	reviewed	ENST00000228922 [Q6N063-1];ENST00000397389 [Q6N063-2];ENST00000454694 [Q6N063-4];ENST00000536150 [Q6N063-4];ENST00000538628 [Q6N063-4];ENST00000538755 [Q6N063-4];ENST00000540324 [Q6N063-3];ENST00000545317 [Q6N063-4];ENST00000545612 [Q6N063-4];	OGFOD2		IPR005123;IPR006620;	Homo sapiens (Human)
Q9NTK5	reviewed	ENST00000284719 [Q9NTK5-1];ENST00000344357 [Q9NTK5-2];ENST00000428402 [Q9NTK5-3];	OLA1	X-ray crystallography (1)	IPR004396;IPR012675;IPR031167;IPR006073;IPR027417;IPR004095;IPR012676;IPR023192;IPR013029;IPR041706;	Homo sapiens (Human)
O14832	reviewed	ENST00000263038 [O14832-1];ENST00000396913 [O14832-2];	PHYH	X-ray crystallography (1)	IPR008775;	Homo sapiens (Human)
Q9NZ20	reviewed	ENST00000215885;	PLA2G3		IPR016090;IPR036444;IPR033113;	Homo sapiens (Human)
P98160	reviewed	ENST00000374695;	HSPG2	X-ray crystallography (2)	IPR013320;IPR001881;IPR000742;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR013106;IPR002049;IPR001791;IPR000034;IPR036055;IPR023415;IPR002172;IPR000082;	Homo sapiens (Human)
P17858	reviewed	ENST00000349048 [P17858-1];	PFKL		IPR009161;IPR022953;IPR041914;IPR015912;IPR000023;IPR035966;	Homo sapiens (Human)
Q9BQG1	reviewed	ENST00000338916;ENST00000593901;ENST00000600079;	SYT3		IPR000008;IPR035892;IPR001565;IPR028682;	Homo sapiens (Human)
P11388	reviewed	ENST00000423485 [P11388-1];	TOP2A	Model (1); X-ray crystallography (6)	IPR012542;IPR003594;IPR036890;IPR020568;IPR014721;IPR001241;IPR013760;IPR002205;IPR013758;IPR013759;IPR013506;IPR018522;IPR031660;IPR006171;IPR034157;	Homo sapiens (Human)
P0C1S8	reviewed	ENST00000397541;ENST00000574659;	WEE2	X-ray crystallography (1)	IPR011009;IPR000719;IPR017441;IPR008271;IPR017164;	Homo sapiens (Human)
Q9UBQ0	reviewed	ENST00000360579 [Q9UBQ0-2];ENST00000549578 [Q9UBQ0-1];	VPS29	Electron microscopy (1); X-ray crystallography (6)	IPR024654;IPR029052;IPR000979;IPR028661;	Homo sapiens (Human)
P86452	reviewed	ENST00000550078;	ZBED6		IPR008906;IPR012337;IPR003656;IPR036236;	Homo sapiens (Human)
Q96E35	reviewed	ENST00000298585;	ZMYND19		IPR003615;IPR032978;IPR002893;	Homo sapiens (Human)
Q08397	reviewed	ENST00000261921;	LOXL1		IPR001695;IPR019828;	Homo sapiens (Human)
P36871	reviewed	ENST00000371083 [P36871-2];ENST00000371084 [P36871-1];ENST00000540265 [P36871-3];	PGM1	X-ray crystallography (14)	IPR005844;IPR016055;IPR005845;IPR005846;IPR005843;IPR036900;IPR016066;IPR005841;	Homo sapiens (Human)
P16112	reviewed	ENST00000352105 [P16112-3];ENST00000439576 [P16112-1];ENST00000559004 [P16112-2];	ACAN	X-ray crystallography (1)	IPR001304;IPR016186;IPR018378;IPR033987;IPR016187;IPR000742;IPR007110;IPR036179;IPR013783;IPR003006;IPR003599;IPR013106;IPR000538;IPR035976;IPR000436;	Homo sapiens (Human)
Q15165	reviewed	ENST00000222572 [Q15165-2];ENST00000433091 [Q15165-3];ENST00000633531 [Q15165-2];	PON2		IPR011042;IPR002640;IPR008364;	Homo sapiens (Human)
P62068	reviewed	ENST00000441222 [P62068-1];ENST00000508499 [P62068-3];	USP46	X-ray crystallography (5)	IPR038765;IPR001394;IPR018200;IPR028889;	Homo sapiens (Human)
Q9Y233	reviewed	ENST00000366882 [Q9Y233-2];	PDE10A	Model (1); X-ray crystallography (97)	IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
Q01064	reviewed	ENST00000243052 [Q01064-1];ENST00000550620 [Q01064-2];	PDE1B	Model (1); X-ray crystallography (7)	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;	Homo sapiens (Human)
P04637	reviewed	ENST00000269305 [P04637-1];ENST00000420246 [P04637-2];ENST00000445888 [P04637-1];ENST00000455263 [P04637-3];ENST00000504290 [P04637-9];ENST00000504937 [P04637-7];ENST00000510385 [P04637-8];ENST00000610292 [P04637-4];ENST00000610538 [P04637-6];ENST00000619485 [P04637-4];ENST00000620739 [P04637-4];ENST00000622645 [P04637-5];	TP53	Electron microscopy (1); X-ray crystallography (190); NMR spectroscopy (30)	IPR008967;IPR012346;IPR011615;IPR040926;IPR036674;IPR010991;IPR013872;IPR002117;	Homo sapiens (Human)
P13686	reviewed	ENST00000218758;ENST00000412435;ENST00000648477;	ACP5	X-ray crystallography (2)	IPR024927;IPR004843;IPR029052;	Homo sapiens (Human)
P15918	reviewed	ENST00000299440 [P15918-1];ENST00000534663 [P15918-2];	RAG1		IPR024627;IPR035714;IPR019485;IPR023336;IPR036236;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q8IYM9	reviewed	ENST00000379965 [Q8IYM9-1];	TRIM22		IPR001870;IPR043136;IPR003879;IPR013320;IPR035827;IPR003877;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q6ZT21	reviewed	ENST00000342462 [Q6ZT21-1];ENST00000416695 [Q6ZT21-2];	TMPPE		IPR004843;IPR029052;	Homo sapiens (Human)
Q6P9F5	reviewed	ENST00000307859 [Q6P9F5-2];ENST00000376724 [Q6P9F5-1];ENST00000383610 [Q6P9F5-1];ENST00000396581 [Q6P9F5-1];ENST00000400651 [Q6P9F5-2];ENST00000421981 [Q6P9F5-2];ENST00000429471 [Q6P9F5-2];ENST00000433713 [Q6P9F5-1];ENST00000434151 [Q6P9F5-1];ENST00000436951 [Q6P9F5-2];ENST00000437563 [Q6P9F5-1];ENST00000547289 [Q6P9F5-1];ENST00000549728 [Q6P9F5-1];ENST00000552119 [Q6P9F5-1];ENST00000616351 [Q6P9F5-1];	TRIM40		IPR027370;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9H2K2	reviewed	ENST00000371627;	TNKS2	X-ray crystallography (153)	IPR002110;IPR020683;IPR036770;IPR012317;IPR001660;IPR013761;	Homo sapiens (Human)
Q96S55	reviewed	ENST00000380764 [Q96S55-4];ENST00000380769 [Q96S55-3];ENST00000380771 [Q96S55-2];ENST00000380773 [Q96S55-1];ENST00000618555 [Q96S55-1];	WRNIP1	X-ray crystallography (2)	IPR003593;IPR032423;IPR003959;IPR008921;IPR021886;IPR027417;IPR006642;IPR040539;	Homo sapiens (Human)
Q96IU2	reviewed	ENST00000255198;	ZBED3		IPR043471;IPR033546;IPR003656;IPR036236;	Homo sapiens (Human)
Q504Y3	reviewed	ENST00000383768;	ZCWPW2	X-ray crystallography (3)	IPR000313;IPR042778;IPR011124;	Homo sapiens (Human)
O75132	reviewed	ENST00000216268;	ZBED4		IPR008906;IPR012337;IPR003656;IPR036236;	Homo sapiens (Human)
Q9BTP6	reviewed	ENST00000317012;	ZBED2	NMR spectroscopy (1)	IPR043471;IPR003656;IPR036236;	Homo sapiens (Human)
Q9UHR6	reviewed	ENST00000310597;	ZNHIT2	NMR spectroscopy (1)	IPR007529;IPR039646;	Homo sapiens (Human)
Q9HCK1	reviewed	ENST00000374423;ENST00000636761;ENST00000649650;ENST00000649768;	ZDBF2		IPR038890;IPR006572;IPR038545;	Homo sapiens (Human)
Q9ULJ6	reviewed	ENST00000334512 [Q9ULJ6-1];	ZMIZ1	X-ray crystallography (1)	IPR040797;IPR004181;IPR013083;	Homo sapiens (Human)
Q8NF64	reviewed	ENST00000265346 [Q8NF64-2];ENST00000309315 [Q8NF64-1];ENST00000413916 [Q8NF64-3];ENST00000441627 [Q8NF64-1];	ZMIZ2		IPR004181;IPR013083;	Homo sapiens (Human)
P62699	reviewed	ENST00000261353;ENST00000379519;ENST00000379520;ENST00000402003;ENST00000402708;	YPEL5		IPR034751;IPR004910;IPR039058;	Homo sapiens (Human)
Q8WY91	reviewed	ENST00000402136 [Q8WY91-2];ENST00000407315 [Q8WY91-1];	THAP4	X-ray crystallography (1)	IPR012674;IPR014878;IPR006612;IPR038441;	Homo sapiens (Human)
A6NDI0	reviewed	ENST00000332682;ENST00000622138;	TRIM49B		IPR001870;IPR043136;IPR003879;IPR013320;IPR003877;IPR000315;IPR001841;IPR013083;	Homo sapiens (Human)
C9J1S8	reviewed	ENST00000420869;ENST00000526396;ENST00000530311;ENST00000623787;	TRIM49D1; TRIM49D2		IPR001870;IPR043136;IPR003879;IPR013320;IPR003877;IPR000315;IPR001841;IPR013083;	Homo sapiens (Human)
Q12899	reviewed	ENST00000327357;ENST00000383607;ENST00000396558;ENST00000415923;ENST00000422349;ENST00000425523;ENST00000425831;ENST00000427535;ENST00000428486;ENST00000432326;ENST00000433314;ENST00000436219;ENST00000437089;ENST00000438384;ENST00000438908;ENST00000439094;ENST00000445259;ENST00000447711;ENST00000450392;ENST00000453195;ENST00000454678;ENST00000455000;ENST00000456093;ENST00000456770;	TRIM26		IPR001870;IPR043136;IPR003879;IPR013320;IPR006574;IPR003877;IPR000315;IPR001841;IPR013083;	Homo sapiens (Human)
Q96F44	reviewed	ENST00000284551 [Q96F44-1];ENST00000366699 [Q96F44-2];	TRIM11		IPR001870;IPR043136;IPR003879;IPR013320;IPR006574;IPR003877;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9HBA0	reviewed	ENST00000261740 [Q9HBA0-1];ENST00000418703 [Q9HBA0-1];ENST00000536838 [Q9HBA0-5];ENST00000537083 [Q9HBA0-2];ENST00000541794 [Q9HBA0-4];ENST00000544971 [Q9HBA0-6];ENST00000675670 [Q9HBA0-1];	TRPV4	X-ray crystallography (2)	IPR002110;IPR020683;IPR036770;IPR005821;IPR024862;IPR008347;IPR008348;	Homo sapiens (Human)
Q9H0M4	reviewed	ENST00000360951 [Q9H0M4-5];ENST00000398027 [Q9H0M4-1];ENST00000490721 [Q9H0M4-4];	ZCWPW1	NMR spectroscopy (2)	IPR000313;IPR042778;IPR011124;	Homo sapiens (Human)
Q96QT4	reviewed	ENST00000646667;	TRPM7		IPR005821;IPR011009;IPR004166;IPR029601;IPR041491;IPR032415;IPR037162;	Homo sapiens (Human)
Q8NHM4	reviewed		PRSS3P2		IPR009003;IPR043504;IPR001314;IPR001254;IPR018114;IPR033116;	Homo sapiens (Human)
Q5W0Z9	reviewed	ENST00000320220 [Q5W0Z9-4];ENST00000382466 [Q5W0Z9-3];ENST00000400590 [Q5W0Z9-1];ENST00000415724 [Q5W0Z9-1];	ZDHHC20	X-ray crystallography (3)	IPR001594;	Homo sapiens (Human)
Q9BT88	reviewed	ENST00000368324;	SYT11		IPR000008;IPR035892;IPR001565;IPR028699;	Homo sapiens (Human)
P58557	reviewed	ENST00000329319 [P58557-1];ENST00000339195 [P58557-2];ENST00000397691 [P58557-1];ENST00000397692 [P58557-4];ENST00000397694 [P58557-3];ENST00000397701 [P58557-1];	YBEY		IPR023091;IPR002036;IPR020549;	Homo sapiens (Human)
Q49AG3	reviewed	ENST00000413761;ENST00000432999;	ZBED5		IPR012337;IPR003656;	Homo sapiens (Human)
H3BP28	unreviewed	ENST00000569127;	COQ7		IPR009078;IPR011566;	Homo sapiens (Human)
E7EMS6	unreviewed	ENST00000412786;	COMT		IPR017128;IPR029063;IPR002935;	Homo sapiens (Human)
A0A669KA36	unreviewed	ENST00000674147;	ATP7B		IPR023299;IPR018303;IPR008250;IPR036412;IPR017969;IPR006122;IPR006121;IPR036163;IPR027256;IPR001757;IPR044492;	Homo sapiens (Human)
A0A3B3ITZ3	unreviewed	ENST00000647980;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
A0A2R8YDM0	unreviewed	ENST00000643810;	PTGS1		IPR029580;IPR019791;IPR010255;IPR037120;	Homo sapiens (Human)
A0A1W2PPH1	unreviewed	ENST00000639850;	ME2		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
A0A669KB88	unreviewed	ENST00000673772;	ATP7B		IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR017969;IPR006122;IPR006121;IPR036163;IPR027256;IPR001757;IPR044492;	Homo sapiens (Human)
B1ANE3	unreviewed	ENST00000366576;	MTR		IPR003759;IPR006158;IPR036724;IPR011005;IPR033706;IPR011822;IPR036594;IPR000489;IPR004223;IPR037010;	Homo sapiens (Human)
A0A494C1A2	unreviewed	ENST00000651455;	MTR		IPR003726;IPR036589;	Homo sapiens (Human)
A0A1B1UZQ1	unreviewed	ENST00000648884;	PDE10A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A0A7I2YQK5	unreviewed	ENST00000678724;	IMPDH2		IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	Homo sapiens (Human)
A0A096LPJ9	unreviewed	ENST00000624019;	CRYAA2		IPR002068;IPR001436;IPR012274;IPR008978;	Homo sapiens (Human)
C9JPD5	unreviewed	ENST00000420501;	PDE2A		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A2A376	unreviewed	ENST00000379868;	DDX58		IPR011545;IPR014001;IPR001650;IPR027417;IPR041204;IPR038557;IPR021673;	Homo sapiens (Human)
Q6TCH8	unreviewed	ENST00000323418;	ME3		IPR012301;IPR037062;IPR001891;	Homo sapiens (Human)
E9PEW8	unreviewed	ENST00000429817;	HBD		IPR000971;IPR009050;IPR012292;IPR002337;	Homo sapiens (Human)
A0A5F9ZI67	unreviewed	ENST00000672859;	PDE10A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
D6RGW0	unreviewed	ENST00000510373;	ERAP2		IPR042097;IPR024571;IPR033528;IPR034016;IPR001930;IPR014782;	Homo sapiens (Human)
A0A1W2PR68	unreviewed	ENST00000639255;	ME2		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
J3KPY9	unreviewed	ENST00000404191;ENST00000681710;	ANTXR2		IPR017360;IPR008399;IPR008400;IPR002035;IPR036465;	Homo sapiens (Human)
K7ENX7	unreviewed	ENST00000591971;	PDE4A		IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A0A2R8YD45	unreviewed	ENST00000644218;	TPP1		IPR036852;IPR015366;IPR030400;	Homo sapiens (Human)
E5RJH0	unreviewed	ENST00000524080;	BHMT		IPR017226;IPR003726;IPR036589;	Homo sapiens (Human)
A0A669KB21	unreviewed	ENST00000673864;	ATP7B		IPR017969;IPR006121;IPR036163;	Homo sapiens (Human)
A0A6Q8PHP0	unreviewed	ENST00000674860;	NT5C2		IPR036412;IPR008380;IPR023214;IPR016695;	Homo sapiens (Human)
B1APR7	unreviewed	ENST00000373864;	EYA3		IPR028479;IPR006545;IPR042577;IPR038102;IPR028472;	Homo sapiens (Human)
A0A087WX88	unreviewed	ENST00000611850;	PNLIPRP2		IPR029058;IPR013818;IPR016272;IPR033906;IPR002331;IPR001024;IPR036392;IPR000734;	Homo sapiens (Human)
A0A3B3IU33	unreviewed	ENST00000648227;	AMDHD2		IPR006680;IPR003764;IPR011059;IPR032466;	Homo sapiens (Human)
H0Y689	unreviewed	ENST00000446774;	PDE7B		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
D6RBN2	unreviewed	ENST00000510307;	DCTD		IPR016192;IPR002125;IPR016193;IPR016473;IPR015517;IPR035105;	Homo sapiens (Human)
I3L159	unreviewed	ENST00000570445;ENST00000631495;	HMOX2		IPR002051;IPR016053;IPR016084;IPR018207;	Homo sapiens (Human)
A0A2R8Y891	unreviewed	ENST00000642730;	PFKM		IPR009161;IPR022953;IPR041914;IPR015912;IPR000023;IPR035966;	Homo sapiens (Human)
A0A6Q8PF33	unreviewed	ENST00000674512;	AARS1		IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
A0A2R8Y430	unreviewed	ENST00000642498;	GSS		IPR005615;IPR014042;IPR014709;IPR014049;IPR037013;IPR004887;IPR016185;	Homo sapiens (Human)
A0A3B3IRK8	unreviewed	ENST00000648433;	IFIH1		IPR031964;IPR006935;IPR014001;IPR001650;IPR027417;IPR041204;IPR038557;IPR021673;	Homo sapiens (Human)
A0A1B0GW84	unreviewed	ENST00000636120;	PDE4D		IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A0A1W2PQY8	unreviewed	ENST00000638937;	ME2		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
H3BPK7	unreviewed	ENST00000565361;	AARS1		IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
F5H562	unreviewed	ENST00000400370;	ATP7B		IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR017969;IPR006122;IPR006121;IPR036163;IPR027256;IPR001757;IPR044492;	Homo sapiens (Human)
D6RHE0	unreviewed	ENST00000505453;	PDE4D		IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
G5E9C5	unreviewed	ENST00000394439;	PDE5A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
G3V1N2	unreviewed	ENST00000397797;ENST00000397806;	HBA2		IPR000971;IPR009050;IPR012292;IPR002338;	Homo sapiens (Human)
K7EMC7	unreviewed	ENST00000589342;	CYGB		IPR000971;IPR009050;IPR012292;IPR013314;	Homo sapiens (Human)
A0A7I2V2T3	unreviewed	ENST00000677010;	IMPDH2		IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	Homo sapiens (Human)
E5RJ49	unreviewed	ENST00000520066;	ENPP2		IPR017850;IPR029881;IPR002591;IPR036024;IPR001212;	Homo sapiens (Human)
E5RIM7	unreviewed	ENST00000521264;	ATOX1		IPR017969;IPR006121;IPR036163;	Homo sapiens (Human)
H0Y987	unreviewed	ENST00000509219;ENST00000652468;	PGM3		IPR005844;IPR016055;IPR005843;IPR036900;IPR016066;IPR016657;	Homo sapiens (Human)
F2Z2F1	unreviewed	ENST00000447607;ENST00000451685;	MB		IPR000971;IPR009050;IPR012292;IPR002335;	Homo sapiens (Human)
H7C4D0	unreviewed	ENST00000433879;	PDE11A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
G5E9W0	unreviewed	ENST00000494440;	PLA1A		IPR029058;IPR013818;IPR016272;IPR033906;IPR000734;	Homo sapiens (Human)
B4DKA4	unreviewed	ENST00000524103;	ELP3		IPR016181;IPR039661;IPR034687;IPR006638;IPR000182;IPR032432;IPR007197;IPR023404;	Homo sapiens (Human)
A0A494C1E2	unreviewed	ENST00000651425;	PGM3		IPR005844;IPR016055;IPR005843;IPR036900;IPR016657;	Homo sapiens (Human)
H0YA14	unreviewed	ENST00000503412;	PDE5A		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A0A2R8YDS4	unreviewed	ENST00000646938;	NOS2		IPR003097;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR012144;IPR004030;IPR036119;IPR001433;IPR017938;	Homo sapiens (Human)
A0A0A0MSC1	unreviewed	ENST00000405392;	ADCY3		IPR001054;IPR018297;IPR032628;IPR030672;IPR029787;	Homo sapiens (Human)
A0A0A0MS69	unreviewed	ENST00000396193;	PDE1C		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;	Homo sapiens (Human)
E9PBW4	unreviewed	ENST00000380252;	HBG2		IPR000971;IPR009050;IPR012292;IPR002337;	Homo sapiens (Human)
E9PK80	unreviewed	ENST00000525319;	SIRT3		IPR029035;IPR003000;IPR026591;IPR017328;IPR026590;	Homo sapiens (Human)
J3KND8	unreviewed	ENST00000307000;	PAH		IPR002912;IPR001273;IPR018301;IPR036951;IPR036329;IPR019774;IPR041912;IPR005961;IPR019773;	Homo sapiens (Human)
A0A1U9X989	unreviewed	ENST00000454571;	NOTCH4		IPR002110;IPR020683;IPR036770;IPR001881;IPR013032;IPR000742;IPR000152;IPR018097;IPR009030;IPR008297;IPR035993;IPR022355;IPR000800;IPR010660;IPR011656;	Homo sapiens (Human)
D6RA96	unreviewed	ENST00000492259;	RTEL1-TNFRSF6B		IPR006555;IPR010614;IPR014013;IPR006554;IPR027417;IPR030845;	Homo sapiens (Human)
E7ETN2	unreviewed	ENST00000317304;ENST00000611592;	EYA2		IPR028473;IPR006545;IPR042577;IPR038102;IPR028472;IPR036412;	Homo sapiens (Human)
E5RGN3	unreviewed	ENST00000520382;ENST00000522314;	ATOX1		IPR006121;IPR036163;	Homo sapiens (Human)
E9PEF1	unreviewed	ENST00000418754;	PDE2A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
G3XAH6	unreviewed	ENST00000392990;	PAPOLA		IPR043519;IPR011068;IPR007012;IPR007010;IPR014492;IPR002934;	Homo sapiens (Human)
A0A1W2PQH3	unreviewed	ENST00000640965;	ME2		IPR015884;IPR012301;IPR037062;IPR012302;IPR001891;IPR036291;	Homo sapiens (Human)
E5RHZ7	unreviewed	ENST00000493349;	EYA1		IPR038102;IPR028472;IPR028471;	Homo sapiens (Human)
E7ESD5	unreviewed	ENST00000430974;	EYA4		IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	Homo sapiens (Human)
F5GX71	unreviewed	ENST00000535694;	MPI		IPR001250;IPR016305;IPR018050;IPR014710;IPR011051;	Homo sapiens (Human)
E7ETK5	unreviewed	ENST00000442157;	IMPDH2		IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	Homo sapiens (Human)
A0A6Q8PFY6	unreviewed	ENST00000675418;	MME		IPR024079;IPR029727;IPR000718;IPR018497;IPR042089;IPR008753;	Homo sapiens (Human)
A0A6Q8PGB5	unreviewed	ENST00000675691;	AARS1		IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
H0YAL8	unreviewed	ENST00000508077;	ERAP2		IPR033528;IPR034016;IPR001930;IPR014782;	Homo sapiens (Human)
E9PK03	unreviewed	ENST00000530961;	CCS		IPR006121;IPR036163;IPR036423;IPR024134;IPR001424;	Homo sapiens (Human)
A0A3B3ISJ6	unreviewed	ENST00000648917;	PDE10A		IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
B1AKW3	unreviewed	ENST00000458636;	EYA2		IPR028473;IPR038102;IPR028472;	Homo sapiens (Human)
H0YNM0	unreviewed	ENST00000561267;	TRPM7		IPR011009;IPR004166;IPR029601;	Homo sapiens (Human)
A0A3B3IRI9	unreviewed	ENST00000647594;ENST00000647859;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
