Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
mouse	Efnb2	MGI:105097		Chr8:8667434-8711242 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system	
mouse	Eftud2	MGI:1336880		Chr11:102729299-102771811 (-)	GRCm39		behavior/neurological | cardiovascular system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | muscle | reproductive system	
mouse	Eif3b	MGI:106478		Chr5:140405083-140429115 (+)	GRCm39		mortality/aging	
mouse	Eif6	MGI:1196288		Chr2:155661757-155668845 (-)	GRCm39		adipose tissue | cellular | growth/size/body | liver/biliary system | mortality/aging	
mouse	Elof1	MGI:1913376		Chr9:22024285-22028468 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Emg1	MGI:1315195		Chr6:124681333-124689151 (-)	GRCm39	Bowen-Conradi syndrome	cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | mortality/aging | nervous system | vision/eye	
mouse	Endog	MGI:1261433	Chr2 B	Chr2:30061505-30064081 (+)	GRCm39		cellular | endocrine/exocrine glands | integument | mortality/aging | reproductive system	
mouse	Ercc2	MGI:95413		Chr7:19115942-19129619 (+)	GRCm39	photosensitive trichothiodystrophy | xeroderma pigmentosum group D	adipose tissue | behavior/neurological | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | neoplasm | nervous system | pigmentation | reproductive system | skeleton | vision/eye	
mouse	Esco2	MGI:1919238	Chr14 D1	Chr14:66056476-66071418 (-)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | nervous system	
mouse	In(15Rictor;Slc1a3)1Ove	MGI:5288367		Chr15:6737860-8740248	GRCm39		mortality/aging	
mouse	Ino80	MGI:1915392	Chr2 E5	Chr2:119203523-119308168 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | mortality/aging | neoplasm | reproductive system	
mouse	Ints1	MGI:1915760	Chr5 G1	Chr5:139737037-139761429 (-)	GRCm39		embryo | mortality/aging	
mouse	Ipo11	MGI:2442377		Chr13:106930947-107073466 (-)	GRCm39		embryo | growth/size/body | homeostasis/metabolism | mortality/aging | vision/eye	
mouse	Isca1	MGI:1916296	Chr13 A3.1	Chr13:59903229-59917603 (-)	GRCm39		behavior/neurological | embryo | growth/size/body | mortality/aging	
mouse	Iws1	MGI:1920723	Chr18 B3	Chr18:32200794-32237381 (+)	GRCm39		behavior/neurological | embryo | growth/size/body | mortality/aging	
mouse	Kdm8	MGI:1924285	Chr7 F3	Chr7:125043848-125061441 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | pigmentation | vision/eye	
mouse	B3galnt1	MGI:1349405		Chr3:69481491-69506293 (-)	GRCm39		mortality/aging | reproductive system	
mouse	B3gnt5	MGI:2137302	Chr16 B1	Chr16:19578958-19591503 (+)	GRCm39		growth/size/body | hematopoietic system | immune system | mortality/aging | reproductive system	
mouse	Bcor	MGI:1918708	ChrX A1.2	ChrX:11902979-12026594 (-)	GRCm39	syndromic microphthalmia 2	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | integument | limbs/digits/tail | mortality/aging | nervous system | skeleton | vision/eye	
mouse	Bcs1l	MGI:1914071	Chr1 C3	Chr1:74627448-74631602 (+)	GRCm39	GRACILE syndrome | mitochondrial complex III deficiency nuclear type 1	behavior/neurological | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | renal/urinary system | reproductive system	
mouse	Brk1	MGI:1915406		Chr6:113581733-113593912 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | reproductive system	
mouse	Bsg	MGI:88208		Chr10:79540325-79547803 (+)	GRCm39		cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system | vision/eye	
mouse	Ggn	MGI:2181461		Chr7:28869635-28873363 (+)	GRCm39		cellular | homeostasis/metabolism | mortality/aging	
mouse	Gli3	MGI:95729	Chr13 A2	Chr13:15638308-15904611 (+)	GRCm39	Greig cephalopolysyndactyly syndrome | Pallister-Hall syndrome	cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | integument | limbs/digits/tail | mortality/aging | nervous system | pigmentation | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Cnot3	MGI:2385261		Chr7:3648267-3664108 (+)	GRCm39		adipose tissue | cardiovascular system | cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | skeleton	
mouse	Ppm1b	MGI:101841	Chr17 E4-E5	Chr17:85264169-85331419 (+)	GRCm39		cellular | embryo | mortality/aging | reproductive system	
mouse	Ppp1r10	MGI:1289273		Chr17:36227404-36243175 (+)	GRCm39		mortality/aging	
mouse	Prkci	MGI:99260		Chr3:31049893-31106889 (+)	GRCm39	abdominal obesity-metabolic syndrome | obesity | type 2 diabetes mellitus	adipose tissue | behavior/neurological | cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | nervous system | pigmentation | renal/urinary system | vision/eye	
mouse	Prkra	MGI:1344375		Chr2:76460242-76478359 (-)	GRCm39		behavior/neurological | craniofacial | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | mortality/aging | nervous system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Prpf19	MGI:106247		Chr19:10872595-10886923 (+)	GRCm39		cellular | embryo | mortality/aging	
mouse	Psmc3	MGI:1098754		Chr2:90884361-90889783 (+)	GRCm39		embryo | mortality/aging | reproductive system	
mouse	Psmc4	MGI:1346093		Chr7:27741127-27749517 (-)	GRCm39	amyotrophic lateral sclerosis	behavior/neurological | embryo | growth/size/body | hematopoietic system | immune system | mortality/aging | nervous system | reproductive system | skeleton	
mouse	Arfgef2	MGI:2139354		Chr2:166647508-166739972 (+)	GRCm39		cellular | growth/size/body | mortality/aging | nervous system	
mouse	Arpc3	MGI:1928375		Chr5:122529941-122544244 (+)	GRCm39		behavior/neurological | cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system	
mouse	Atad3a	MGI:1919214		Chr4:155825098-155845550 (-)	GRCm39		behavior/neurological | cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | skeleton	
mouse	Atp6v0a1	MGI:103286		Chr11:100900278-100954545 (+)	GRCm39		adipose tissue | behavior/neurological | cellular | craniofacial | digestive/alimentary system | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system | skeleton	
mouse	Atp6v0c	MGI:88116		Chr17:24382839-24388652 (-)	GRCm39		embryo | mortality/aging	
mouse	Atxn10	MGI:1859293		Chr15:85220446-85347413 (+)	GRCm39		mortality/aging	
mouse	Aurka	MGI:894678		Chr2:172198110-172212455 (-)	GRCm39		cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | liver/biliary system | mortality/aging | neoplasm | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Axin1	MGI:1096327		Chr17:26357662-26414785 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | limbs/digits/tail | mortality/aging | nervous system | renal/urinary system | reproductive system | skeleton	
mouse	Odf2	MGI:1098824	Chr2 B	Chr2:29779233-29821758 (+)	GRCm39		cellular | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | immune system | mortality/aging | nervous system | reproductive system | respiratory system	
mouse	Om	MGI:97434					cellular | embryo | mortality/aging | reproductive system	
mouse	Orc1	MGI:1328337	Chr4 D	Chr4:108436651-108472030 (+)	GRCm39		adipose tissue | behavior/neurological | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | skeleton	
mouse	Os	MGI:97446					cellular | embryo | growth/size/body | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | renal/urinary system | skeleton	
mouse	P3h2	MGI:2146663		Chr16:25778038-25924534 (-)	GRCm39		behavior/neurological | craniofacial | growth/size/body | homeostasis/metabolism | mortality/aging | skeleton | vision/eye	
mouse	Smarca4	MGI:88192		Chr9:21527465-21615526 (+)	GRCm39	breast cancer	cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | respiratory system | skeleton | vision/eye	
mouse	Smg6	MGI:2144117		Chr11:74816665-75055274 (+)	GRCm39		behavior/neurological | cellular | embryo | growth/size/body | hematopoietic system | immune system | integument | mortality/aging	
mouse	Snap23	MGI:109356	Chr2 E5	Chr2:120398152-120431736 (+)	GRCm39		behavior/neurological | embryo | integument | mortality/aging | pigmentation	
mouse	Hdhd2	MGI:1924237	Chr18 E3	Chr18:77031775-77059867 (+)	GRCm39		mortality/aging	
mouse	Hgs	MGI:104681		Chr11:120358461-120374805 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | mortality/aging | muscle | nervous system | reproductive system | skeleton	
mouse	Hmcn1	MGI:2685047		Chr1:150438275-150869186 (-)	GRCm39		behavior/neurological | embryo | mortality/aging | nervous system | vision/eye	
mouse	Hnrnpl	MGI:104816	Chr7 A3	Chr7:28507971-28521693 (+)	GRCm39		cellular | endocrine/exocrine glands | hematopoietic system | immune system | mortality/aging	
mouse	Hsbp1	MGI:1915446		Chr8:120071277-120075668 (+)	GRCm39		embryo | mortality/aging	
mouse	Hspa5	MGI:95835		Chr2:34662102-34666541 (+)	GRCm39		cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | homeostasis/metabolism | integument | mortality/aging | nervous system | renal/urinary system | reproductive system | respiratory system	
mouse	Ift140	MGI:2146906		Chr17:25235059-25318469 (+)	GRCm39	asphyxiating thoracic dystrophy 1 | short-rib thoracic dysplasia 9 with or without polydactyly	cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Lonp1	MGI:1921392	Chr17 D	Chr17:56921297-56933887 (-)	GRCm39		cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | neoplasm | nervous system	
mouse	Lrp6	MGI:1298218		Chr6:134423439-134543876 (-)	GRCm39	fatty liver disease | neural tube defect	adipose tissue | behavior/neurological | craniofacial | digestive/alimentary system | embryo | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | nervous system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Map2k1	MGI:1346866		Chr9:64093051-64160887 (-)	GRCm39	cardiofaciocutaneous syndrome	cardiovascular system | cellular | craniofacial | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | nervous system | reproductive system | skeleton | vision/eye	
mouse	Mapk8ip1	MGI:1309464	Chr2 E1	Chr2:92214021-92231608 (-)	GRCm39		behavior/neurological | cellular | growth/size/body | homeostasis/metabolism | liver/biliary system | mortality/aging | nervous system | reproductive system	
mouse	Mbtps1	MGI:1927235	Chr8 E1	Chr8:120234895-120285474 (-)	GRCm39	idiopathic scoliosis	cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | pigmentation | reproductive system | skeleton	
mouse	Mdfi	MGI:107687		Chr17:48126253-48145616 (-)	GRCm39		embryo | growth/size/body | limbs/digits/tail | mortality/aging | nervous system | respiratory system | skeleton	
mouse	Med21	MGI:1347064		Chr6:146544077-146552098 (+)	GRCm39		mortality/aging	
mouse	Med28	MGI:1914249		Chr5:45677571-45686618 (+)	GRCm39		cellular | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging	
mouse	Metrn	MGI:1917333	Chr17 A3.3	Chr17:26013545-26016019 (-)	GRCm39		embryo | growth/size/body | mortality/aging	
mouse	Mettl3	MGI:1927165	Chr14 C1	Chr14:52532298-52542585 (-)	GRCm39		cellular | embryo | endocrine/exocrine glands | homeostasis/metabolism | mortality/aging | reproductive system	
mouse	Mettl16	MGI:1914743	Chr11 B4	Chr11:74661658-74716649 (+)	GRCm39		hematopoietic system | homeostasis/metabolism | integument | mortality/aging | pigmentation | renal/urinary system	
mouse	Mmachc	MGI:1914346	Chr4 C7	Chr4:116559631-116565582 (-)	GRCm39	methylmalonic aciduria and homocystinuria type cblC	cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | growth/size/body | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | nervous system | renal/urinary system | reproductive system | respiratory system | vision/eye	
mouse	Mrm3	MGI:1914640		Chr11:76134562-76141451 (+)	GRCm39		embryo | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system | skeleton	
mouse	Mrps25	MGI:1928140	Chr6 D3	Chr6:92146506-92161014 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Mtch2	MGI:1929260	Chr2 E1	Chr2:90677499-90697154 (+)	GRCm39		embryo | growth/size/body | hematopoietic system | immune system | liver/biliary system | mortality/aging | skeleton	
mouse	Mut778	MGI:5429749					craniofacial | growth/size/body | integument | mortality/aging | nervous system | pigmentation | reproductive system | skeleton	
mouse	Mut873	MGI:5430733					craniofacial | growth/size/body | mortality/aging | skeleton	
mouse	Mut921	MGI:5430735					craniofacial | growth/size/body | mortality/aging | skeleton	
mouse	Mut955	MGI:5432503					behavior/neurological | mortality/aging	
mouse	Mut960	MGI:5432513					behavior/neurological | mortality/aging	
mouse	Mut1048	MGI:5433022					growth/size/body | integument | limbs/digits/tail | mortality/aging | pigmentation	
mouse	Mut1069	MGI:5433692					growth/size/body | mortality/aging	
mouse	Mut1170	MGI:5440915					embryo | limbs/digits/tail | mortality/aging | nervous system	
mouse	Mut1446	MGI:5442337					growth/size/body | integument | mortality/aging	
mouse	Mut1454	MGI:5429753					behavior/neurological | growth/size/body | limbs/digits/tail | mortality/aging	
mouse	Mut1488	MGI:5470110					craniofacial | growth/size/body | integument | limbs/digits/tail | mortality/aging | pigmentation | skeleton | vision/eye	
mouse	Mut1544	MGI:5442350					cardiovascular system | craniofacial | growth/size/body | mortality/aging | skeleton	
mouse	Mut1556	MGI:5470116					behavior/neurological | growth/size/body | integument | limbs/digits/tail | mortality/aging | pigmentation	
mouse	Mut1602	MGI:5470121					behavior/neurological | growth/size/body | limbs/digits/tail | mortality/aging	
mouse	Naf1	MGI:2682306		Chr8:67312869-67343216 (+)	GRCm39		mortality/aging	
mouse	Nasp	MGI:1355328	Chr4 D1	Chr4:116458249-116485138 (-)	GRCm39		embryo | growth/size/body | mortality/aging	
mouse	Ndrg3	MGI:1352499		Chr2:156769265-156833976 (-)	GRCm39		behavior/neurological | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | renal/urinary system | reproductive system | vision/eye	
mouse	Nepro	MGI:2384836		Chr16:44544664-44557647 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging	
mouse	Noc4l	MGI:2140843		Chr5:110796285-110801248 (-)	GRCm39		cellular | embryo | homeostasis/metabolism | mortality/aging	
mouse	Nop53	MGI:2154441	Chr7 A2	Chr7:15671760-15680033 (-)	GRCm39		endocrine/exocrine glands | hematopoietic system | immune system | mortality/aging | neoplasm	
mouse	Npat	MGI:107605		Chr9:53448347-53485642 (+)	GRCm39		cardiovascular system | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Nrp1	MGI:106206	Chr8 E	Chr8:129085085-129229844 (+)	GRCm39	retinal vein occlusion	cardiovascular system | cellular | craniofacial | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | mortality/aging | muscle | neoplasm | nervous system | vision/eye	
mouse	Nup214	MGI:1095411		Chr2:31864448-31943987 (+)	GRCm39		cellular | embryo | mortality/aging	
mouse	Nusap1	MGI:2675669		Chr2:119448779-119480646 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging	
mouse	Rrm1	MGI:98180		Chr7:102090902-102118978 (+)	GRCm39		mortality/aging	
mouse	Ruvbl1	MGI:1928760		Chr6:88442391-88474548 (+)	GRCm39		cellular | embryo | growth/size/body | hematopoietic system | immune system | mortality/aging	
mouse	Sap130	MGI:1919782	Chr18 B2	Chr18:31767424-31856114 (+)	GRCm39	congenital heart disease | hypoplastic left heart syndrome	behavior/neurological | cardiovascular system | hematopoietic system | immune system | mortality/aging	
mouse	Sbno1	MGI:2384298		Chr5:124506765-124564059 (-)	GRCm39		cellular | embryo | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | pigmentation | skeleton	
mouse	Sco2	MGI:3818630		Chr15:89255840-89258049 (-)	GRCm39	cytochrome-c oxidase deficiency disease	behavior/neurological | cellular | embryo | homeostasis/metabolism | liver/biliary system | mortality/aging | muscle	
mouse	Sec24c	MGI:1919746		Chr14:20724376-20744920 (+)	GRCm39		endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Sec24d	MGI:1916858	Chr3 G3	Chr3:123061104-123159290 (+)	GRCm39		digestive/alimentary system | homeostasis/metabolism | liver/biliary system | mortality/aging	
mouse	Segd	MGI:5320614					growth/size/body | integument | mortality/aging	
mouse	Sf3b1	MGI:1932339		Chr1:55024328-55066640 (-)	GRCm39	myelodysplastic syndrome	behavior/neurological | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | reproductive system | skeleton	
mouse	Sf3b4	MGI:109580		Chr3:96079822-96084880 (+)	GRCm39		cellular | craniofacial | growth/size/body | mortality/aging | nervous system | skeleton	
mouse	Skil	MGI:106203		Chr3:31149207-31176726 (+)	GRCm39		cardiovascular system | cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | neoplasm | reproductive system	
mouse	Slc2a3	MGI:95757		Chr6:122704768-122778599 (-)	GRCm39		behavior/neurological | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | nervous system | reproductive system	
mouse	Spout1	MGI:106544		Chr2:30063465-30068471 (-)	GRCm39		cellular | mortality/aging | reproductive system	
mouse	Sprn	MGI:3582583		Chr7:139730541-139734572 (-)	GRCm39		cellular | endocrine/exocrine glands | growth/size/body | integument | mortality/aging	
mouse	Sptssa	MGI:1913399		Chr12:54692177-54703358 (-)	GRCm39		embryo | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Srsf3	MGI:98285		Chr17:29251634-29262346 (+)	GRCm39		adipose tissue | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system | renal/urinary system | respiratory system | skeleton	
mouse	Stip1	MGI:109130		Chr19:6998070-7017335 (-)	GRCm39		cellular | embryo | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | nervous system	
mouse	Supt6	MGI:107726		Chr11:78097575-78136798 (-)	GRCm39		mortality/aging	
mouse	Surf4	MGI:98445		Chr2:26810053-26823793 (-)	GRCm39		cardiovascular system | homeostasis/metabolism | liver/biliary system | mortality/aging	
mouse	T(7;18)50H	MGI:103975	Chr7 E2			Prader-Willi syndrome	cellular | endocrine/exocrine glands | growth/size/body | limbs/digits/tail | mortality/aging | reproductive system | skeleton	
mouse	T(7;18)50H	MGI:103976	Chr18 B2			Prader-Willi syndrome	cellular | endocrine/exocrine glands | growth/size/body | limbs/digits/tail | mortality/aging | reproductive system | skeleton	
mouse	Taf8	MGI:1926879	Chr17 C	Chr17:47794289-47813217 (-)	GRCm39		embryo | mortality/aging | nervous system | reproductive system	
mouse	Tbc1d14	MGI:1098708		Chr5:36647948-36743611 (-)	GRCm39		mortality/aging	
mouse	Tbp	MGI:101838		Chr17:15720150-15737689 (+)	GRCm39	spinocerebellar ataxia type 17	behavior/neurological | cardiovascular system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | skeleton	
mouse	Tbx4	MGI:102556		Chr11:85777248-85806923 (+)	GRCm39		cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | limbs/digits/tail | mortality/aging | skeleton	
mouse	Tead4	MGI:106907		Chr6:128204106-128277776 (-)	GRCm39		embryo | mortality/aging	
mouse	Tet1	MGI:1098693		Chr10:62640349-62723242 (-)	GRCm39		behavior/neurological | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | neoplasm | nervous system | pigmentation | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Thoc1	MGI:1919668		Chr18:9958180-9995484 (+)	GRCm39		adipose tissue | behavior/neurological | cellular | embryo | growth/size/body | hematopoietic system | limbs/digits/tail | mortality/aging	
mouse	Timm22	MGI:1929742	Chr11 B4	Chr11:76297778-76307118 (+)	GRCm39		behavior/neurological | embryo | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Timm23	MGI:1858317		Chr14:31902123-31923848 (-)	GRCm39		behavior/neurological | integument | mortality/aging | skeleton	
mouse	Tkt	MGI:105992	Chr14 B1	Chr14:30271088-30296681 (+)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | endocrine/exocrine glands | growth/size/body | hematopoietic system | liver/biliary system | mortality/aging | nervous system | renal/urinary system | reproductive system | vision/eye	
mouse	Tmed10	MGI:1915831		Chr12:85387388-85421491 (-)	GRCm39		cellular | endocrine/exocrine glands | mortality/aging | nervous system | renal/urinary system | reproductive system	
mouse	Tmem41b	MGI:1289225		Chr7:109571394-109586136 (-)	GRCm39		cellular | embryo | homeostasis/metabolism | immune system | mortality/aging	
mouse	Top1	MGI:98788	Chr2 H2-3	Chr2:160487817-160564684 (+)	GRCm39		mortality/aging	
mouse	Topbp1	MGI:1920018		Chr9:103182414-103227627 (+)	GRCm39		cellular | embryo | mortality/aging | nervous system	
mouse	Tpm1	MGI:98809		Chr9:66929872-66956688 (-)	GRCm39	dilated cardiomyopathy 1Y | hypertrophic cardiomyopathy 3	behavior/neurological | cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | respiratory system	
mouse	Tpm3	MGI:1890149		Chr3:89979958-90008209 (+)	GRCm39		mortality/aging | muscle | nervous system	
mouse	Trrap	MGI:2153272		Chr5:144704547-144796588 (+)	GRCm39		embryo | hematopoietic system | homeostasis/metabolism | mortality/aging | vision/eye	
mouse	Tsen54	MGI:1923515	Chr11 E2	Chr11:115705550-115713920 (+)	GRCm39		behavior/neurological | mortality/aging	
mouse	Tsix	MGI:1336196		ChrX:102475123-102528563 (+)	GRCm39		cellular | digestive/alimentary system | embryo | mortality/aging | reproductive system	
mouse	Tubg1	MGI:101834		Chr11:101010764-101017245 (+)	GRCm39		cellular | embryo | mortality/aging	
mouse	Tyr	MGI:98880		Chr7:87073979-87142720 (-)	GRCm39	buphthalmos | oculocutaneous albinism	cardiovascular system | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | integument | mortality/aging | nervous system | pigmentation | renal/urinary system | reproductive system | vision/eye	
mouse	Uba1	MGI:98890	ChrX A2-A3	ChrX:20524565-20549418 (+)	GRCm39		embryo | mortality/aging	
mouse	Ube2q1	MGI:1917343	Chr3 F2	Chr3:89680923-89691307 (+)	GRCm39		behavior/neurological | cellular | homeostasis/metabolism | mortality/aging | reproductive system	
mouse	Ubtf	MGI:98512	Chr11 D	Chr11:102195386-102210568 (-)	GRCm39		behavior/neurological | cardiovascular system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | integument | liver/biliary system | mortality/aging | nervous system | renal/urinary system | reproductive system	
mouse	Ugcg	MGI:1332243	Chr4 B3	Chr4:59189452-59222833 (+)	GRCm39		behavior/neurological | cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | renal/urinary system	
mouse	Unc45b	MGI:2443377		Chr11:82802079-82834232 (+)	GRCm39		embryo | mortality/aging	
mouse	Uros	MGI:98917		Chr7:133287972-133311801 (-)	GRCm39	cutaneous porphyria	craniofacial | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | renal/urinary system | skeleton	
mouse	Usp5	MGI:1347343		Chr6:124791982-124806447 (-)	GRCm39		hematopoietic system | immune system | mortality/aging	
mouse	Usp7	MGI:2182061		Chr16:8506586-8574931 (-)	GRCm39		behavior/neurological | embryo | growth/size/body | mortality/aging | nervous system	
mouse	Usp16	MGI:1921362	Chr16 C3.3	Chr16:87251833-87280403 (+)	GRCm39		hematopoietic system | immune system | mortality/aging	
mouse	Usp17lc	MGI:107698		Chr7:103065903-103068381 (+)	GRCm39		cellular | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | mortality/aging | reproductive system	
mouse	Usp36	MGI:1919594		Chr11:118150477-118181070 (-)	GRCm39		cellular | embryo | homeostasis/metabolism | mortality/aging	
mouse	Vcan	MGI:102889		Chr13:89803431-89890628 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | homeostasis/metabolism | limbs/digits/tail | mortality/aging | nervous system | skeleton	
mouse	Vcp	MGI:99919		Chr4:42979964-43000507 (-)	GRCm39	frontotemporal dementia | inclusion body myopathy with Paget disease of bone and frontotemporal dementia	behavior/neurological | cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | skeleton	
mouse	Vezt	MGI:2143698		Chr10:93797384-93871661 (-)	GRCm39		behavior/neurological | cellular | embryo | hematopoietic system | homeostasis/metabolism | integument | mortality/aging | renal/urinary system | reproductive system	
mouse	Vmp1	MGI:1923159	Chr11 C	Chr11:86474691-86574662 (-)	GRCm39		digestive/alimentary system | embryo | growth/size/body | homeostasis/metabolism | mortality/aging	
mouse	Vps45	MGI:891965		Chr3:95907144-95965778 (-)	GRCm39		embryo | mortality/aging	
mouse	Wdr36	MGI:1917819		Chr18:32970241-33000008 (+)	GRCm39		behavior/neurological | embryo | homeostasis/metabolism | mortality/aging	
mouse	Wdr48	MGI:1914811	Chr9 F4	Chr9:119723943-119755652 (+)	GRCm39		cellular | embryo | endocrine/exocrine glands | growth/size/body | integument | mortality/aging | reproductive system | skeleton	
mouse	Whl	MGI:103024		Chr4:8426721-9574055	GRCm39		behavior/neurological | cardiovascular system | embryo | growth/size/body | hearing/vestibular/ear | mortality/aging | nervous system	
