Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
human	CBS	HGNC:1550	Chr21 q22.3	Chr21:43053191-43076943 (-)	GRCh38	cerebral infarction | coronary artery disease | homocystinuria | hyperhomocysteinemia | malaria | neural tube defect		
human	CBX4	HGNC:1554	Chr17 q25.3	Chr17:79833156-79839440 (-)	GRCh38	hepatocellular carcinoma		
mouse	Cby1	MGI:1920989	Chr15 E2	Chr15:79543437-79551861 (+)	GRCm39	otitis media | primary ciliary dyskinesia	adipose tissue | cellular | embryo | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | integument | mortality/aging | reproductive system | respiratory system	
human	CCBE1	HGNC:29426	Chr18 q21.32	Chr18:59430939-59697721 (-)	GRCh38	Hennekam syndrome		
human	CCDC28B	HGNC:28163	Chr1 p35.2	Chr1:32196011-32205453 (+)	GRCh38	Bardet-Biedl syndrome | Bardet-Biedl syndrome 1		
human	CCDC39	HGNC:25244	Chr3 q26.33	Chr3:180602858-180684942 (-)	GRCh38	primary ciliary dyskinesia 14		
human	CCDC40	HGNC:26090	Chr17 q25.3	Chr17:80036632-80100613 (+)	GRCh38	primary ciliary dyskinesia 15		
human	CCDC65	HGNC:29937	Chr12 q13.12	Chr12:48904110-48931840 (+)	GRCh38	primary ciliary dyskinesia 27		
mouse	Ccdc92	MGI:106485		Chr5:124911482-124939261 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | cellular | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | skeleton	
human	CCDC103	HGNC:32700	Chr17 q21.31	Chr17:44899142-44905390 (+)	GRCh38	primary ciliary dyskinesia 17		
mouse	Cckbr	MGI:99479		Chr7:105075201-105085546 (+)	GRCm39		behavior/neurological | cardiovascular system | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system | limbs/digits/tail | liver/biliary system | nervous system	
mouse	Ccl1	MGI:98258		Chr11:82067492-82070638 (-)	GRCm39		hematopoietic system | immune system	
human	CCL2	HGNC:10618	Chr17 q12	Chr17:34255274-34257208 (+)	GRCh38	aggressive periodontitis | anterior uveitis | asthma | Behcet's disease | bipolar disorder | end stage renal disease | familial hyperlipidemia | Henoch-Schoenlein purpura | hepatocellular carcinoma | ischemia | lupus nephritis | multiple sclerosis | myocardial infarction | oral squamous cell carcinoma | pancreatitis | proliferative diabetic retinopathy | pulmonary tuberculosis | skin melanoma | systemic lupus erythematosus | temporal arteritis | thrombocytopenia		
mouse	Ccl2	MGI:98259	Chr11 C-E1	Chr11:81926403-81928278 (+)	GRCm39	age related macular degeneration	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | pigmentation | skeleton | vision/eye	
mouse	Ccl3	MGI:98260		Chr11:83538670-83540181 (-)	GRCm39		behavior/neurological | digestive/alimentary system | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
mouse	Ccl4	MGI:98261		Chr11:83553410-83555509 (+)	GRCm39		homeostasis/metabolism | immune system	
human	CCL5	HGNC:10632	Chr17 q12	Chr17:35871491-35880793 (-)	GRCh38	asthma | hepatitis B | hepatitis C | hepatocellular carcinoma | human immunodeficiency virus infectious disease | liver cirrhosis | pancreatitis | pulmonary tuberculosis | severe acute respiratory syndrome | type 1 diabetes mellitus		
mouse	Ccl5	MGI:98262		Chr11:83416604-83421344 (-)	GRCm39		cellular | hematopoietic system | immune system	
mouse	Ccl17	MGI:1329039		Chr8:95537081-95538664 (+)	GRCm39		growth/size/body | hematopoietic system | immune system	
mouse	Ccl21a	MGI:1349183		Chr4:42772860-42773991 (-)	GRCm39		endocrine/exocrine glands | hematopoietic system | immune system | vision/eye	
human	CCL26	HGNC:10625	Chr7 q11.23	Chr7:75769524-75791597 (-)	GRCh38	asthma | eosinophilic esophagitis | rhinitis		
mouse	Ccl28	MGI:1861731		Chr13:120085355-120115895 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | reproductive system | vision/eye	
mouse	Ccm2	MGI:2384924		Chr11:6496887-6546744 (+)	GRCm39	cerebral cavernous malformation 2	behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | muscle | nervous system | vision/eye	
human	CCND1	HGNC:1582	Chr11 q13.3	Chr11:69641156-69654474 (+)	GRCh38	acute myeloid leukemia | colorectal cancer | head and neck squamous cell carcinoma | hepatocellular carcinoma | high grade glioma | invasive lobular carcinoma | lung adenocarcinoma | lung non-small cell carcinoma | lung small cell carcinoma | multiple myeloma | non-Hodgkin lymphoma | ovarian carcinoma | pancreatic cancer | pancreatic ductal adenocarcinoma | renal cell carcinoma | squamous cell carcinoma | von Hippel-Lindau disease		
human	CCND2	HGNC:1583	Chr12 p13.32	Chr12:4269771-4305353 (+)	GRCh38	breast cancer | ductal carcinoma in situ | hepatitis B | hepatocellular carcinoma | invasive lobular carcinoma | liver cancer | lung adenocarcinoma | lung squamous cell carcinoma | prostate cancer | stomach carcinoma | transitional cell carcinoma		
human	CCNG1	HGNC:1592	Chr5 q34	Chr5:163437569-163457640 (+)	GRCh38	hepatocellular carcinoma | localized osteosarcoma | ovarian cancer | ovarian carcinoma | pancreatic cancer | sarcoma		
mouse	Ccnt1	MGI:1328363	Chr15 F2	Chr15:98436570-98468340 (-)	GRCm39		behavior/neurological | digestive/alimentary system | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | vision/eye	
mouse	Ccpg1	MGI:1196419	Chr9 D	Chr9:72892711-72923622 (+)	GRCm39		cellular | digestive/alimentary system | endocrine/exocrine glands | homeostasis/metabolism | immune system	
mouse	Ccr1	MGI:104618	Chr9 F	Chr9:123762163-123768729 (-)	GRCm39	Coronavirus infectious disease	cardiovascular system | cellular | digestive/alimentary system | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | renal/urinary system | respiratory system	
human	CCR2	HGNC:1603	Chr3 p21.31	Chr3:46353864-46360940 (+)	GRCh38	aggressive periodontitis | asthma | congestive heart failure | coronary artery disease | human immunodeficiency virus infectious disease | intermediate uveitis | Kawasaki disease | metabolic dysfunction-associated steatotic liver disease | myocardial infarction | oral squamous cell carcinoma | pleural tuberculosis | posterior uveitis | prediabetes syndrome | psoriatic arthritis | rhinitis | sarcoidosis | type 1 diabetes mellitus | urticaria		
mouse	Ccr2	MGI:106185	Chr9 F	Chr9:123901987-123913594 (+)	GRCm39	age related macular degeneration | Coronavirus infectious disease	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | pigmentation | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Ccr4	MGI:107824		Chr9:114319384-114333984 (-)	GRCm39		hematopoietic system | immune system | respiratory system	
human	CCR5	HGNC:1606	Chr3 p21.31	Chr3:46370142-46376206 (+)	GRCh38	asthma | Behcet's disease | berylliosis | breast cancer | cutaneous leishmaniasis | fallopian tube disease | gallbladder cancer | granulomatosis with polyangiitis | hepatitis B | hepatitis C | human immunodeficiency virus infectious disease | hypertension | juvenile rheumatoid arthritis | Kawasaki disease | multiple sclerosis | posterior uveitis | pulmonary sarcoidosis | respiratory syncytial virus infectious disease | rheumatoid arthritis | sarcoidosis | Sjogren's syndrome | type 1 diabetes mellitus 22 | urticaria | West Nile fever		
mouse	Ccr5	MGI:107182	Chr9 F	Chr9:123921557-123934153 (+)	GRCm39	Coronavirus infectious disease	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | reproductive system | respiratory system | vision/eye	
mouse	Ccr6	MGI:1333797	Chr17 A1	Chr17:8454875-8475973 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
mouse	Ccr7	MGI:103011	Chr11 D	Chr11:99035025-99045903 (-)	GRCm39	Sjogren's syndrome	cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | nervous system | vision/eye	
mouse	Ccrl2	MGI:1920904	Chr9 F	Chr9:110883902-110886586 (-)	GRCm39		cellular | hematopoietic system | immune system	
mouse	Cd1	MGI:102561					cardiovascular system | hematopoietic system | immune system | mortality/aging | neoplasm | respiratory system | vision/eye	
mouse	Cd1d1	MGI:107674		Chr3:86903141-86906748 (-)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system | renal/urinary system | respiratory system | skeleton	
mouse	Cd2ap	MGI:1330281		Chr17:43103842-43187556 (-)	GRCm39	end stage renal disease | focal segmental glomerulosclerosis 3	behavior/neurological | cardiovascular system | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | renal/urinary system	
human	CD3D	HGNC:1673	Chr11 q23.3	Chr11:118338954-118342705 (-)	GRCh38	immunodeficiency 19 | severe combined immunodeficiency		
human	CD3E	HGNC:1674	Chr11 q23.3	Chr11:118304730-118316175 (+)	GRCh38	immunodeficiency 18		
human	CD3G	HGNC:1675	Chr11 q23.3	Chr11:118344344-118355161 (+)	GRCh38	immunodeficiency 17		
human	CD4	HGNC:1678	Chr12 p13.31	Chr12:6786858-6820799 (+)	GRCh38	immunodeficiency 79		
mouse	Cd4	MGI:88335		Chr6:124841655-124865184 (-)	GRCm39		cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
human	CD14	HGNC:1628	Chr5 q31.3	Chr5:140631728-140633701 (-)	GRCh38	allergic disease | asthma | carotid artery disease | celiac disease | cystic fibrosis | hypertension | IgA glomerulonephritis | myocardial infarction | pulmonary tuberculosis | rhinitis | sarcoidosis		
mouse	Cd14	MGI:88318		Chr18:36858120-36859851 (-)	GRCm39		adipose tissue | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | respiratory system | skeleton	
human	CD19	HGNC:1633	Chr16 p11.2	Chr16:28931965-28939342 (+)	GRCh38	common variable immunodeficiency 3		
human	CD27	HGNC:11922	Chr12 p13.31	Chr12:6443892-6451718 (+)	GRCh38	lymphoproliferative syndrome 2		
mouse	Cd28	MGI:88327	Chr1 C1-C3	Chr1:60785547-60812521 (+)	GRCm39		behavior/neurological | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | nervous system | vision/eye	
mouse	Cd33	MGI:99440		Chr7:43176823-43186679 (-)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system	
mouse	Cd36	MGI:107899		Chr5:17986688-18093799 (-)	GRCm39	platelet-type bleeding disorder 10	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | nervous system | renal/urinary system | skeleton | taste/olfaction | vision/eye	
mouse	Cd38	MGI:107474		Chr5:44026153-44069714 (+)	GRCm39	type 1 diabetes mellitus	cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail	
human	CD40	HGNC:11919	Chr20 q13.12	Chr20:46118271-46129863 (+)	GRCh38	arthritis | asthma | B-cell lymphoma | Burkitt lymphoma | Crohn's disease | diffuse large B-cell lymphoma | end stage renal disease | follicular lymphoma | Graves' disease | hyperimmunoglobulin syndrome | immunodeficiency with hyper IgM type 3 | Kawasaki disease | melanoma | multiple myeloma | multiple sclerosis | non-Hodgkin lymphoma | pancreatic ductal carcinoma | pemphigus | plasma cell leukemia | psoriasis | rheumatoid arthritis | systemic lupus erythematosus		
mouse	Cd40	MGI:88336		Chr2:164897535-164913574 (+)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | nervous system | skeleton	
human	CD40LG	HGNC:11935	ChrX q26.3	ChrX:136648158-136660390 (+)	GRCh38	antiphospholipid syndrome | autoimmune thrombocytopenic purpura | CD40 ligand deficiency | combined T cell and B cell immunodeficiency | coronary artery disease | dysgammaglobulinemia | follicular lymphoma | Graves' disease | human immunodeficiency virus infectious disease | Kawasaki disease | lupus nephritis | multiple myeloma		
mouse	Cd40lg	MGI:88337		ChrX:56257503-56269402 (+)	GRCm39	inflammatory bowel disease | systemic lupus erythematosus	cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | nervous system | renal/urinary system | reproductive system | skeleton	
mouse	Cd44	MGI:88338		Chr2:102641486-102732010 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Cd59a	MGI:109177	Chr2 E2-E4	Chr2:103926146-103945699 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | muscle | nervous system | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Cd69	MGI:88343		Chr6:129244287-129252332 (-)	GRCm39		cellular | hematopoietic system | immune system | skeleton	
mouse	Cd72	MGI:88345		Chr4:43447724-43454720 (-)	GRCm39		cellular | growth/size/body | hematopoietic system | immune system | renal/urinary system | respiratory system	
mouse	Cd74	MGI:96534		Chr18:60936921-60945724 (+)	GRCm39		cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system	
human	CD79A	HGNC:1698	Chr19 q13.2	Chr19:41877279-41881372 (+)	GRCh38	agammaglobulinemia 3		
human	CD79B	HGNC:1699	Chr17 q23.3	Chr17:63928738-63932336 (-)	GRCh38	agammaglobulinemia 6 | Burkitt lymphoma | central nervous system lymphoma | chronic lymphocytic leukemia | diffuse large B-cell lymphoma | follicular lymphoma | mantle cell lymphoma | non-Hodgkin lymphoma		
mouse	Cd80	MGI:101775	Chr16 B5	Chr16:38277793-38316682 (+)	GRCm39		cellular | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system	
human	CD81	HGNC:1701	Chr11 p15.5	Chr11:2376177-2397802 (+)	GRCh38	common variable immunodeficiency 6		
mouse	Cd81	MGI:1096398		Chr7:142606487-142621667 (+)	GRCm39		behavior/neurological | cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
mouse	Cd83	MGI:1328316	Chr13 A4-5	Chr13:43938588-43956609 (+)	GRCm39		cardiovascular system | cellular | growth/size/body | hematopoietic system | immune system	
mouse	Cd86	MGI:101773	Chr16 B5	Chr16:36424231-36486443 (-)	GRCm39	Guillain-Barre syndrome	behavior/neurological | cellular | growth/size/body | hematopoietic system | immune system | muscle | nervous system	
mouse	Cd96	MGI:1934368	Chr16 B5	Chr16:45856020-45940614 (-)	GRCm39		embryo | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | neoplasm	
mouse	Cd99l2	MGI:2177151		ChrX:70463666-70536455 (-)	GRCm39		cellular | embryo | hematopoietic system | immune system | reproductive system	
mouse	Cd109	MGI:2445221		Chr9:78522828-78623535 (+)	GRCm39		cardiovascular system | endocrine/exocrine glands | immune system | integument | vision/eye	
mouse	Cd151	MGI:1096360		Chr7:141047305-141051386 (+)	GRCm39		cardiovascular system | cellular | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | neoplasm | renal/urinary system	
mouse	Cd163	MGI:2135946	Chr6 F2	Chr6:124281615-124307486 (+)	GRCm39		cardiovascular system | cellular | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | muscle | respiratory system | vision/eye	
mouse	Cd200	MGI:1196990	Chr16 A1	Chr16:45202498-45229416 (-)	GRCm39	autoimmune disease	behavior/neurological | cellular | hematopoietic system | homeostasis/metabolism | immune system | nervous system | skeleton	
mouse	Cd209a	MGI:2157942		Chr8:3793397-3798984 (-)	GRCm39		cellular | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging	
mouse	Cd209b	MGI:1916415	Chr8 A1.2-A1.3	Chr8:3967655-3976841 (-)	GRCm39		cellular | digestive/alimentary system | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | renal/urinary system	
mouse	Cd226	MGI:3039602		Chr18:89195091-89290353 (+)	GRCm39		cellular | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | neoplasm	
human	CD247	HGNC:1677	Chr1 q24.2	Chr1:167425027-167518640 (-)	GRCh38	immunodeficiency 25		
mouse	Cd274	MGI:1926446	Chr19 C2	Chr19:29344855-29365495 (+)	GRCm39		behavior/neurological | cellular | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | skeleton	
mouse	Cd276	MGI:2183926		Chr9:58431583-58462316 (-)	GRCm39		behavior/neurological | cellular | hematopoietic system | homeostasis/metabolism | immune system | skeleton	
mouse	Cd300lf	MGI:2442359		Chr11:115007040-115024818 (-)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | nervous system | respiratory system	
human	CDC45	HGNC:1739	Chr22 q11.21	Chr22:19479457-19520612 (+)	GRCh38	Meier-Gorlin syndrome 7		
human	CDC73	HGNC:16783	Chr1 q31.2	Chr1:193121983-193254815 (+)	GRCh38	hyperparathyroidism | parathyroid carcinoma		
human	CDCA7	HGNC:14628	Chr2 q31.1	Chr2:173354820-173368997 (+)	GRCh38	immunodeficiency-centromeric instability-facial anomalies syndrome 3		
mouse	Cdcs1	MGI:1927809		Chr3:126834882-126835005	GRCm39		digestive/alimentary system | immune system	
mouse	Cdcs2	MGI:2158450		Chr1:65892345-65892485	GRCm39		digestive/alimentary system | immune system	
mouse	Cdcs3	MGI:2158451					digestive/alimentary system | immune system	
mouse	Cdcs4	MGI:2158452					digestive/alimentary system | immune system	
mouse	Cdcs5	MGI:2158453					digestive/alimentary system | immune system	
mouse	Cdcs6	MGI:2158454					digestive/alimentary system | immune system	
mouse	Cdcs7	MGI:2159142		Chr12:81689083-81689229	GRCm39		digestive/alimentary system | immune system	
mouse	Cdcs8	MGI:2159143		Chr12:81689083-81689229	GRCm39		digestive/alimentary system | immune system	
mouse	Cdcs9	MGI:2159144		Chr4:142230872-142230960	GRCm39		digestive/alimentary system | immune system	
mouse	Cdcs10	MGI:2159145		Chr5:93280786-93280917	GRCm39		digestive/alimentary system | immune system	
human	CDH1	HGNC:1748	Chr16 q22.1	Chr16:68737292-68835537 (+)	GRCh38	acute myeloid leukemia | asthma | blepharocheilodontic syndrome 1 | breast cancer | cervix uteri carcinoma in situ | cleft lip | endometrial cancer | hepatocellular carcinoma | hereditary diffuse gastric cancer | invasive lobular carcinoma | mucoepidermoid carcinoma | ovarian cancer | prostate cancer | renal cell carcinoma		
mouse	Cdh17	MGI:1095414	Chr4 A2	Chr4:11758157-11817905 (+)	GRCm39		digestive/alimentary system | hematopoietic system | immune system	
human	CDK13	HGNC:1733	Chr7 p14.1	Chr7:39950121-40099580 (+)	GRCh38	congenital heart defects, dysmorphic facial features, and intellectual developmental disorder | hepatocellular carcinoma | intellectual disability | prostate carcinoma		
mouse	Cdkn1a	MGI:104556		Chr17:29309953-29319696 (+)	GRCm39	hepatocellular carcinoma | systemic lupus erythematosus	adipose tissue | cardiovascular system | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
human	CDKN1B	HGNC:1785	Chr12 p13.1	Chr12:12685498-12722369 (+)	GRCh38	acute myeloid leukemia | breast cancer | multiple endocrine neoplasia type 4 | myelodysplastic syndrome		
human	CDKN2B	HGNC:1788	Chr9 p21.3	Chr9:22002903-22009313 (-)	GRCh38	acute myeloid leukemia | acute promyelocytic leukemia | chronic myelomonocytic leukemia | erythema infectiosum | esophagus squamous cell carcinoma | lung non-small cell carcinoma | myelodysplastic syndrome | open-angle glaucoma | primary cutaneous T-cell non-Hodgkin lymphoma | transitional cell carcinoma | urinary bladder cancer		
human	CDKN3	HGNC:1791	Chr14 q22.2	Chr14:54396849-54420218 (+)	GRCh38	hepatocellular carcinoma		
mouse	Cdsn	MGI:3505689		Chr17:35863025-35868077 (+)	GRCm39		cardiovascular system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | neoplasm | vision/eye	
mouse	Cebpa	MGI:99480		Chr7:34818718-34821353 (+)	GRCm39	acute myeloid leukemia	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | reproductive system | respiratory system	
mouse	Cebpb	MGI:88373		Chr2:167530835-167532338 (+)	GRCm39	osteochondrodysplasia | viral infectious disease	adipose tissue | cellular | craniofacial | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | renal/urinary system | reproductive system | skeleton	
mouse	Cebpd	MGI:103573		Chr16:15705150-15707409 (+)	GRCm39		adipose tissue | behavior/neurological | cellular | endocrine/exocrine glands | homeostasis/metabolism | immune system | integument | mortality/aging | renal/urinary system | respiratory system	
mouse	Cebpe	MGI:103572		Chr14:54947823-54949604 (-)	GRCm39		cellular | digestive/alimentary system | hematopoietic system | immune system | integument | mortality/aging | respiratory system | skeleton | vision/eye	
mouse	Celsr1	MGI:1100883		Chr15:85783130-85918404 (-)	GRCm39		behavior/neurological | cellular | craniofacial | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | immune system | integument | limbs/digits/tail | mortality/aging | nervous system | reproductive system | respiratory system | skeleton | vision/eye	
human	CENPB	HGNC:1852	Chr20 p13	Chr20:3783851-3786740 (-)	GRCh38	inner ear disease | primary biliary cholangitis		
human	CEP164	HGNC:29182	Chr11 q23.3	Chr11:117314557-117413266 (+)	GRCh38	hepatocellular carcinoma | nephronophthisis 15		
human	CERS3	HGNC:23752	Chr15 q26.3	Chr15:100400395-100544995 (-)	GRCh38	autosomal recessive congenital ichthyosis 9		
mouse	Cers6	MGI:2442564		Chr2:68691785-68944626 (+)	GRCm39		adipose tissue | behavior/neurological | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | nervous system	
human	CFAP74	HGNC:29368	Chr1 p36.33	Chr1:1921951-2003837 (-)	GRCh38	primary ciliary dyskinesia		
human	CFAP298	HGNC:1301	Chr21 q22.11	Chr21:32592079-32612603 (-)	GRCh38	primary ciliary dyskinesia 26		
human	CFAP300	HGNC:28188	Chr11 q22.1	Chr11:102047437-102084554 (+)	GRCh38	primary ciliary dyskinesia 38		
human	CFAP410	HGNC:1260	Chr21 q22.3	Chr21:44328944-44339402 (-)	GRCh38	axial spondylometaphyseal dysplasia		
human	CFB	HGNC:1037	Chr6 p21.33	Chr6:31945650-31952086 (+)	GRCh38	acute lymphoblastic leukemia | age related macular degeneration 14 | anterior uveitis | atypical hemolytic-uremic syndrome | diabetic retinopathy | IgA glomerulonephritis | macular degeneration | membranoproliferative glomerulonephritis | membranous glomerulonephritis | psoriasis | sickle cell anemia | type 1 diabetes mellitus		
mouse	Cfb	MGI:105975		Chr17:35075350-35081492 (-)	GRCm39		cardiovascular system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | renal/urinary system | reproductive system | skeleton	
human	CFH	HGNC:4883	Chr1 q31.3	Chr1:196651754-196752476 (+)	GRCh38	age related macular degeneration 4 | anterior uveitis | atypical hemolytic-uremic syndrome | basal laminar drusen | brain infarction | cardiovascular system disease | COVID-19 | diabetic retinopathy | hemolytic-uremic syndrome | lupus nephritis | macular degeneration | panuveitis | posterior uveitis | retinal detachment | retinal drusen | sarcoidosis | systemic lupus erythematosus		
mouse	Cfh	MGI:88385	Chr1 F	Chr1:140013593-140111149 (-)	GRCm39	age related macular degeneration 4 | atypical hemolytic-uremic syndrome | hemolytic-uremic syndrome | membranoproliferative glomerulonephritis	behavior/neurological | cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | muscle | nervous system | pigmentation | renal/urinary system | vision/eye	
human	CFI	HGNC:5394	Chr4 q25	Chr4:109730982-109802150 (-)	GRCh38	age related macular degeneration 13 | atypical hemolytic-uremic syndrome | complement factor I deficiency | Kuhnt-Junius degeneration | macular degeneration		
mouse	Cfp	MGI:97545	ChrX A3	ChrX:20791693-20797794 (-)	GRCm39		cardiovascular system | homeostasis/metabolism | immune system | mortality/aging | skeleton	
mouse	Cftr	MGI:88388	Chr6 A3	Chr6:18170686-18322767 (+)	GRCm39	cystic fibrosis	behavior/neurological | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | reproductive system | respiratory system | vision/eye	
human	CFTR	HGNC:1884	Chr7 q31.2	Chr7:117287120-117715971 (+)	GRCh38	alcoholic pancreatitis | allergic bronchopulmonary aspergillosis | asthma | autosomal recessive congenital bilateral absence of vas deferens | bronchiectasis | bronchiectasis 1 | chronic obstructive pulmonary disease | congenital bilateral absence of vas deferens | cystic fibrosis | exocrine pancreatic insufficiency | lung cancer | lung disease | pancreatic cancer | primary sclerosing cholangitis | pulmonary sarcoidosis | sinusitis | typhoid fever		
mouse	Cgnz1	MGI:2151890		Chr1:169038741-169038913	GRCm39		immune system | renal/urinary system	
human	CHAF1A	HGNC:1910	Chr19 p13.3	Chr19:4402640-4450830 (+)	GRCh38	colon cancer | high grade glioma | neuroblastoma | systemic lupus erythematosus		
mouse	Chchd10	MGI:2143558		Chr10:75768964-75773581 (+)	GRCm39	isolated mitochondrial myopathy	behavior/neurological | cardiovascular system | cellular | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | skeleton	
mouse	Chd2	MGI:2448567		Chr7:73076400-73191494 (-)	GRCm39	CHARGE syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Chd7	MGI:2444748		Chr4:8690406-8867659 (+)	GRCm39	CHARGE syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | respiratory system | skeleton | taste/olfaction | vision/eye	
human	CHGA	HGNC:1929	Chr14 q32.12	Chr14:92922664-92935285 (+)	GRCh38	end stage renal disease | hypertension | IgA glomerulonephritis | prostate cancer		
human	CHRM2	HGNC:1951	Chr7 q33	Chr7:136868652-137020255 (+)	GRCh38	asthma | bipolar disorder | Chagas disease | heroin dependence | major depressive disorder | schizophrenia		
